candidate,PPI,Co-localization,Enzyme-substrate context
USP15→AKT1,100.0,0.0,0.0
USP15→TP53,100.0,0.0,0.0
USP15→MAPK8,77.52940033044999,22.470599669550005,0.0
USP15→MAPK3,59.871060171919765,40.12893982808023,0.0
USP15→TNFAIP3,82.50703687801155,17.492963121988456,0.0
USP10→CTNNB1,29.34177522076033,70.65822477923967,0.0
USP10→MAPK3,32.41248338292081,67.58751661707919,0.0
CDC20→TP53,80.02644582086435,19.97355417913564,0.0
