relation,pr_auc_drop,relative_importance,relative_importance_percent
Co-localization,0.0565596580892738,0.2089751531950418,20.897515319504187
Enzyme-Substrate Context,0.0738113775308214,0.2727163573495094,27.271635734950937
PPI,0.1402815143339429,0.5183084894554487,51.83084894554487
