pair_id,group_id,enzyme_class,enz_ac,sub_ac,enz_gene,sub_gene,enzyme_type,label,source,pmid,enz_gene_norm,sub_gene_norm,gene_pair_key,ppi_physical_flag,enz_compartments,sub_compartments,shared_compartments,has_enz_loc,has_sub_loc,coloc_flag,scrna_has_both_genes_crc,scrna_has_both_genes_lihc,scrna_coexpr_crc,scrna_coexpr_lihc,scrna_coexpr_flag,scrna_max_min_expr,scrna_best_cancer,scrna_best_celltype
E3|P03243#Q6VGT3|Q8IZP1,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,Q8IZP1,E4,TBC1D3,Other,0,neg2x_initial_degree_matched,,E4,TBC1D3,E4|TBC1D3,False,,membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P03243#Q6VGT3|Q9P126,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,Q9P126,E4,CLEC1B,Other,0,neg2x_initial_degree_matched,,E4,CLEC1B,CLEC1B|E4,False,,membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P03243#Q6VGT3|Q92734,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,Q92734,E4,TFG,Other,0,neg2x_initial_degree_matched,,E4,TFG,E4|TFG,False,,endoplasmic_reticulum,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P03243#Q6VGT3|O14974,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,O14974,E4,PPP1R12A,Other,0,neg2x_initial_degree_matched,,E4,PPP1R12A,E4|PPP1R12A,False,,cytoplasm;cytoskeleton,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P03243#Q6VGT3|P21917,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,P21917,E4,DRD4,Other,0,neg2x_initial_degree_matched,,E4,DRD4,DRD4|E4,False,,membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P03243#Q6VGT3|Q9UBV8,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,Q9UBV8,E4,PEF1,Other,0,neg2x_initial_degree_matched,,E4,PEF1,E4|PEF1,False,,cytoplasm;endoplasmic_reticulum;membrane;vesicle,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P03243#Q6VGT3|P16234,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,P16234,E4,PDGFRA,Other,0,neg2x_initial_degree_matched,,E4,PDGFRA,E4|PDGFRA,False,,golgi;membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P03243#Q6VGT3|P21796,E3|P03243#Q6VGT3,E3,P03243#Q6VGT3,P21796,E4,VDAC1,Other,0,neg2x_initial_degree_matched,,E4,VDAC1,E4|VDAC1,False,,endoplasmic_reticulum;membrane;mitochondrion;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9HCU8,E3|P35226#Q99496,E3,P35226#Q99496,Q9HCU8,BMI1#RNF2,POLD4,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,POLD4,BMI1#RNF2|POLD4,False,,nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|P61587,E3|P35226#Q99496,E3,P35226#Q99496,P61587,BMI1#RNF2,RND3,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,RND3,BMI1#RNF2|RND3,False,,golgi;membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|O43395,E3|P35226#Q99496,E3,P35226#Q99496,O43395,BMI1#RNF2,PRPF3,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,PRPF3,BMI1#RNF2|PRPF3,False,,nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q8TCG1,E3|P35226#Q99496,E3,P35226#Q99496,Q8TCG1,BMI1#RNF2,CIP2A,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,CIP2A,BMI1#RNF2|CIP2A,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q8WUM4,E3|P35226#Q99496,E3,P35226#Q99496,Q8WUM4,BMI1#RNF2,PDCD6IP,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,PDCD6IP,BMI1#RNF2|PDCD6IP,False,,cell_junction;cytoplasm;cytoskeleton;extracellular,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q16342,E3|P35226#Q99496,E3,P35226#Q99496,Q16342,BMI1#RNF2,PDCD2,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,PDCD2,BMI1#RNF2|PDCD2,False,,nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q92844,E3|P35226#Q99496,E3,P35226#Q99496,Q92844,BMI1#RNF2,TANK,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,TANK,BMI1#RNF2|TANK,False,,cytoplasm,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9Y6D0,E3|P35226#Q99496,E3,P35226#Q99496,Q9Y6D0,BMI1#RNF2,SELENOK,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,SELENOK,BMI1#RNF2|SELENOK,False,,endoplasmic_reticulum;membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9UM11,E3|P35226#Q99496,E3,P35226#Q99496,Q9UM11,BMI1#RNF2,FZR1,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,FZR1,BMI1#RNF2|FZR1,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|P10071,E3|P35226#Q99496,E3,P35226#Q99496,P10071,BMI1#RNF2,GLI3,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,GLI3,BMI1#RNF2|GLI3,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9GZQ8,E3|P35226#Q99496,E3,P35226#Q99496,Q9GZQ8,BMI1#RNF2,MAP1LC3B,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,MAP1LC3B,BMI1#RNF2|MAP1LC3B,False,,cytoplasm;cytoskeleton;membrane;mitochondrion;vesicle,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|P35573,E3|P35226#Q99496,E3,P35226#Q99496,P35573,BMI1#RNF2,AGL,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,AGL,AGL|BMI1#RNF2,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q13625,E3|P35226#Q99496,E3,P35226#Q99496,Q13625,BMI1#RNF2,TP53BP2,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,TP53BP2,BMI1#RNF2|TP53BP2,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|P08047,E3|P35226#Q99496,E3,P35226#Q99496,P08047,BMI1#RNF2,SP1,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,SP1,BMI1#RNF2|SP1,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9UMX0,E3|P35226#Q99496,E3,P35226#Q99496,Q9UMX0,BMI1#RNF2,UBQLN1,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,UBQLN1,BMI1#RNF2|UBQLN1,False,,cytoplasm;endoplasmic_reticulum;membrane;nucleus;plasma_membrane;vesicle,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9BXM7,E3|P35226#Q99496,E3,P35226#Q99496,Q9BXM7,BMI1#RNF2,PINK1,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,PINK1,BMI1#RNF2|PINK1,False,,cytoplasm;membrane;mitochondrion,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|P50539,E3|P35226#Q99496,E3,P35226#Q99496,P50539,BMI1#RNF2,MXI1,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,MXI1,BMI1#RNF2|MXI1,False,,nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q05086,E3|P35226#Q99496,E3,P35226#Q99496,Q05086,BMI1#RNF2,UBE3A,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,UBE3A,BMI1#RNF2|UBE3A,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|P51843,E3|P35226#Q99496,E3,P35226#Q99496,P51843,BMI1#RNF2,NR0B1,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,NR0B1,BMI1#RNF2|NR0B1,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|P10193,E3|P35226#Q99496,E3,P35226#Q99496,P10193,BMI1#RNF2,UL9,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,UL9,BMI1#RNF2|UL9,False,,,,False,False,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q86T82,E3|P35226#Q99496,E3,P35226#Q99496,Q86T82,BMI1#RNF2,USP37,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,USP37,BMI1#RNF2|USP37,False,,nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|O14964,E3|P35226#Q99496,E3,P35226#Q99496,O14964,BMI1#RNF2,HGS,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,HGS,BMI1#RNF2|HGS,False,,cytoplasm;endosome;membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q07820,E3|P35226#Q99496,E3,P35226#Q99496,Q07820,BMI1#RNF2,MCL1,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,MCL1,BMI1#RNF2|MCL1,False,,cytoplasm;membrane;mitochondrion;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9H2D6,E3|P35226#Q99496,E3,P35226#Q99496,Q9H2D6,BMI1#RNF2,TRIOBP,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,TRIOBP,BMI1#RNF2|TRIOBP,False,,cytoplasm;cytoskeleton;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9BPZ3,E3|P35226#Q99496,E3,P35226#Q99496,Q9BPZ3,BMI1#RNF2,PAIP2,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,PAIP2,BMI1#RNF2|PAIP2,False,,cytoplasm,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|P27361,E3|P35226#Q99496,E3,P35226#Q99496,P27361,BMI1#RNF2,MAPK3,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,MAPK3,BMI1#RNF2|MAPK3,False,,cell_junction;cytoplasm;membrane;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q9NRD5,E3|P35226#Q99496,E3,P35226#Q99496,Q9NRD5,BMI1#RNF2,PICK1,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,PICK1,BMI1#RNF2|PICK1,False,,cytoplasm;cytoskeleton;membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|P35226#Q99496|Q5MJ70,E3|P35226#Q99496,E3,P35226#Q99496,Q5MJ70,BMI1#RNF2,SPDYA,Other,0,neg2x_initial_degree_matched,,BMI1#RNF2,SPDYA,BMI1#RNF2|SPDYA,False,,nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|Q13601,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q13601,DET1#COP1,KRR1,Other,0,neg2x_initial_degree_matched,,DET1#COP1,KRR1,DET1#COP1|KRR1,False,,cytoplasm;nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|Q9Y5W3,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,Q9Y5W3,DET1#COP1,KLF2,Other,0,neg2x_initial_degree_matched,,DET1#COP1,KLF2,DET1#COP1|KLF2,False,,nucleus,,False,True,False,False,False,False,False,False,0.0,CRC,
E3|Q7L5Y6#Q8NHY2|O43353,E3|Q7L5Y6#Q8NHY2,E3,Q7L5Y6#Q8NHY2,O43353,DET1#COP1,RIPK2,Other,0,neg2x_initial_degree_matched,,DET1#COP1,RIPK2,DET1#COP1|RIPK2,False,,cytoplasm;endoplasmic_reticulum;membrane;plasma_membrane,,False,True,False,False,False,False,False,False,0.0,CRC,
