pair_id,enzyme_class,enz_node,sub_node,enz_ac,sub_ac,enz_gene,sub_gene,is_known_pair,prob_hgt_fold0,prob_hgt_fold1,prob_hgt_fold2,prob_hgt_fold3,prob_hgt_fold4,prob_hgt_mean,prob_hgt_std,crc_enz_expr,crc_sub_expr,lihc_enz_expr,lihc_sub_expr,crc_activity,lihc_activity,crc_score,lihc_score,gi_score
E3|Q9H0M0|P35222,E3,316,674,Q9H0M0,P35222,WWP1,CTNNB1,False,0.9952112,0.9946247,0.9961836,0.9959591,0.9912675,0.99464923,0.0019888727,0.07072082730494572,0.16075603305407024,0.11053036077839125,0.20567138187878606,0.10662457339584083,0.1507744409402751,0.10605404982725157,0.1499676815849251,0.12801086570608833
E3|Q9H0M0|P22694,E3,316,1866,Q9H0M0,P22694,WWP1,PRKACB,False,0.99483985,0.9948395,0.9962895,0.9960737,0.991533,0.9947151,0.001902727,0.07072082730494572,0.1465964032972667,0.11053036077839125,0.17762465877500902,0.10182052308406284,0.14011751360033614,0.10128241180161587,0.1393770065527097,0.12032970917716279
E3|Q9UNE7|Q02790,E3,393,2023,Q9UNE7,Q02790,STUB1,FKBP4,False,0.9955823,0.99477553,0.99579215,0.99566805,0.9912025,0.9946041,0.0019429844,0.12633510319029104,0.074842058860886,0.12395422474391522,0.13904427863910268,0.0972377459074606,0.13128261790422563,0.09671306075431853,0.13057423002627622,0.11364364539029737
E3|O14965|P04083,E3,11,1050,O14965,P04083,AURKA,ANXA1,False,0.99556607,0.9947241,0.9961504,0.99583733,0.99145645,0.99474686,0.0019142496,0.03045628100532096,0.37403253803180914,0.04451447135207938,0.38230407155641966,0.10673162644422776,0.13045330061398044,0.10617095026808854,0.12976801116239312,0.11796948071524083
E3|O14965|Q13501,E3,11,114,O14965,Q13501,AURKA,SQSTM1,False,0.99535084,0.9949478,0.9961856,0.99577206,0.9913837,0.99472797,0.0019258398,0.03045628100532096,0.3373252234850281,0.04451447135207938,0.37754510613323256,0.10135912290782073,0.12963880904684966,0.10082475457107702,0.1289553493563904,0.1148900519637337
DUB|Q9Y4E8|Q8N9B5,DUB,492,1038,Q9Y4E8,Q8N9B5,USP15,JMY,False,0.9957599,0.9946089,0.99603194,0.99557,0.991321,0.99465835,0.0019410986,0.21230732954893902,0.051177663838806994,0.23421347890677816,0.07174107205419986,0.10423719653832991,0.1296253295707131,0.10368039791744095,0.1289329164290117,0.11630665717322633
E3|Q8TDB6|P22694,E3,228,1866,Q8TDB6,P22694,DTX3L,PRKACB,False,0.99506253,0.9946607,0.99604875,0.99579144,0.9916198,0.99463665,0.0017755798,0.0746583092183531,0.1465964032972667,0.09377030042677757,0.17762465877500902,0.10461663160160403,0.12905780726688507,0.10405553599050357,0.12836562507628022,0.1162105805333919
E3|Q9H0M0|P52292,E3,316,770,Q9H0M0,P52292,WWP1,KPNA2,False,0.9952047,0.9944674,0.9961301,0.9960788,0.99117154,0.9946105,0.0020411443,0.07072082730494572,0.1452446502388788,0.11053036077839125,0.149665449709703,0.10134999667740988,0.12861794646344515,0.10080377087031697,0.1279247600409804,0.11436426545564869
