gene,crc_expr
A1BG,0.07465558140702598
A1BG-AS1,0.016505841305708317
A1CF,0.012261365195489276
A2M,0.13933941247258008
A2M-AS1,0.018486374736233487
A2ML1,0.0036419199963779814
A2MP1,0.017917705678699488
A3GALT2,0.00012784655605463678
A4GALT,0.016618621296141646
A4GNT,0.0004658685618303357
AAAS,0.05350216392746928
AACS,0.029020708536290473
AACSP1,0.0014621950884401815
AADAC,0.00044365567713900345
AADACL2,0.0012843666264506037
AADACL3,0.00011856843742465732
AADACL4,0.00014979551459137433
AADACP1,0.0015909052862533408
AADAT,0.0036201011536029274
AAED1,0.047149428183348226
AAGAB,0.0719525566295568
AAK1,0.15432227648389624
AAMDC,0.05876558171881226
AAMP,0.13142908479068574
AANAT,0.00027716341048032115
AAR2,0.04024627484575615
AARD,0.0022528738330416936
AARS,0.06530049122738357
AARS2,0.01985882139170232
AARSD1,0.05128851083647693
AASDH,0.03972408786160376
AASDHPPT,0.0891804592647098
AASS,0.013964510408977778
AATBC,0.0014742275618607362
AATF,0.09181106557004541
AATK,0.0055110380817651175
ABALON,0.0009448059802804205
ABAT,0.018920905110946063
ABC12-49244600F4.4,0.0009681122677567529
ABCA1,0.054647764682423855
ABCA10,0.0054771021278349034
ABCA11P,0.04755122911868298
ABCA12,0.00210939672393079
ABCA13,0.0014300207573329582
ABCA17P,0.008385895820962098
ABCA2,0.03123064766544548
ABCA3,0.0046772174375972544
ABCA4,0.0007116994441599256
ABCA5,0.06110792700542736
ABCA6,0.011086423704150198
ABCA7,0.03316609923713246
ABCA8,0.029729640174873666
ABCA9,0.01706360250031945
ABCA9-AS1,0.00028752430229011725
ABCB1,0.06351444097811686
ABCB10,0.021872647966168692
ABCB11,0.0008436217156665149
ABCB4,0.005674147508858073
ABCB5,0.0023229995254793016
ABCB6,0.021861222007543202
ABCB7,0.052989120114546706
ABCB8,0.04174505947228896
ABCB9,0.014615356652314337
ABCC1,0.05030537220987241
ABCC10,0.037186614946000104
ABCC11,0.0017132523335143114
ABCC12,0.0010939183365504636
ABCC13,0.001419838254980538
ABCC2,0.004326571225121531
ABCC3,0.03633922814328949
ABCC4,0.031875970838877755
ABCC5,0.02931821370508294
ABCC5-AS1,0.0009364629639810604
ABCC6,0.0037154513137466626
ABCC6P1,0.0013722963756919132
ABCC6P2,2.577806689869208e-05
ABCC8,0.0009648910156079346
ABCC9,0.017922474623686603
ABCD1,0.014391886576250804
ABCD2,0.023368357657356287
ABCD3,0.04984430092656794
ABCD4,0.07275055242595414
ABCE1,0.10524433285733645
ABCF1,0.13440564269145835
ABCF2,0.046678112615525985
ABCF3,0.05416800447954666
ABCG1,0.05575308916373059
ABCG2,0.008311346100532503
ABCG4,0.0005008947549596794
ABCG5,0.000738322015736983
ABCG8,0.0005950571243252151
ABHD1,0.005117767698924263
ABHD10,0.04906818657295575
ABHD11,0.04974856460853475
ABHD11-AS1,0.011499072986285212
ABHD12,0.05453083867276063
ABHD12B,0.00816063948814996
ABHD13,0.06210258699798968
ABHD14A,0.0656380772299526
ABHD14A-ACY1,0.06471378993063921
ABHD14B,0.11544460225998122
ABHD15,0.025816002970034738
ABHD15-AS1,0.0024122326269617285
ABHD16A,0.05484817173819009
ABHD16B,0.006073012094991269
ABHD17A,0.0677724043523297
ABHD17B,0.04199255909302642
ABHD17C,0.018581948979163626
ABHD18,0.03637380779869136
ABHD2,0.0936151320755895
ABHD3,0.11511226902987035
ABHD4,0.026582914566734582
ABHD5,0.04902274769881318
ABHD6,0.01842646238408534
ABHD8,0.016842963593565616
ABI1,0.16789784351533946
ABI2,0.0557216789372841
ABI3,0.14389431585910212
ABI3BP,0.03318385392011433
ABL1,0.031190191912190496
ABL2,0.0525969841306447
ABLIM1,0.13401876201801965
ABLIM2,0.008357520853115275
ABLIM3,0.007103074323203108
ABO,0.012439834005020082
ABR,0.06104904728441726
ABRA,0.002583812598278567
ABRACL,0.24986526981669938
ABRAXAS1,0.03980273205951054
ABRAXAS2,0.04552017379899102
ABT1,0.10395742434798334
ABTB1,0.08272409051204507
ABTB2,0.011505789929681456
AC000032.2,0.00010542415021417934
AC000067.1,0.0006067381139460101
AC000068.1,0.003990764783723619
AC000068.10,0.0004025921760941337
AC000068.2,0.00033881921060537594
AC000068.3,0.001129693345733957
AC000068.5,0.0008042696658132305
AC000068.9,0.00019175794788633317
AC000111.6,0.0002780772913504484
AC000403.1,0.001184696537314836
AC000403.4,0.0005240725450416062
AC001226.2,0.0004406672496142317
AC001226.7,0.0006189189403630453
AC002066.1,0.00046140426820876656
AC002070.1,0.0033039779625272142
AC002074.1,0.0008530055778458743
AC002076.10,0.000100269436303367
AC002091.1,0.0004676120032813858
AC002091.2,0.0019185659287794558
AC002116.2,0.0008324162894101157
AC002116.7,0.0010525866679287168
AC002117.1,0.011090335073782624
AC002128.2,0.00034357520886864025
AC002306.1,0.003390434524081327
AC002310.1,0.009361245815093447
AC002310.12,0.010894343891493775
AC002310.2,0.002662834372090256
AC002310.7,0.000920080040916403
AC002331.1,0.017647814939682236
AC002347.1,0.0008165778157110842
AC002384.1,0.00029522051541794596
AC002398.11,0.0004184763950854042
AC002398.12,0.0003433440155231183
AC002398.2,0.0007551991340510577
AC002401.3,0.00020801206301443445
AC002401.4,0.000313056790887725
AC002429.5,0.00014193523174731135
AC002451.1,0.0020149668042769206
AC002451.3,0.003484820785255021
AC002454.1,0.0009831544076819318
AC002456.1,0.0027918369065384526
AC002456.2,0.0008947755503726684
AC002463.1,3.6326873412792324e-05
AC002467.1,0.01339850395799722
AC002467.7,0.007100774678018215
AC002470.1,0.0023739410036478607
AC002480.2,0.0008379596402581478
AC002480.3,0.0006496008035923371
AC002480.4,0.00037774114284878067
AC002511.1,0.0003602208573055552
AC002511.2,0.0017276534956642412
AC002546.1,0.001363515282755677
AC002550.1,0.001363119734508702
AC002550.2,0.0011934015405925206
AC002550.5,0.00015954553499293575
AC002550.6,0.0009020668021367951
AC002553.2,0.00815289551247638
AC002558.2,0.0003043369110833422
AC002563.1,0.00024923971527698424
AC003035.1,0.00022109427129054056
AC003075.4,0.012113242065356203
AC003090.1,0.0008038406901426549
AC003092.1,0.0003098859425678211
AC003101.2,0.0005801307551264822
AC003102.1,0.01902032142778163
AC003681.1,0.008948253234653387
AC003956.1,0.000973093375850286
AC003958.2,0.00018898280384664753
AC003965.1,0.0009100177781598709
AC003986.7,6.805130668566629e-05
AC003991.1,0.0015802300863318344
AC003991.2,0.00041213597550199336
AC003991.3,0.0010813133862840921
AC004009.1,0.00014180306959902985
AC004012.1,9.025724855839167e-05
AC004034.1,0.0013821057080667457
AC004053.1,0.00016955637730906744
AC004066.2,0.0003610134938264646
AC004067.1,0.0012460241124070243
AC004067.5,0.0003888540785302645
AC004069.1,0.0038069499546003307
AC004069.2,0.0035910708322854697
AC004076.2,0.0037601001507061253
AC004076.5,0.00197789674262648
AC004080.1,0.00033128879029612916
AC004080.2,0.000520308701276473
AC004130.1,0.011790415897455324
AC004148.2,0.004161531825091949
AC004156.1,0.0014813751428843567
AC004156.3,0.0009440967136828946
AC004158.1,0.0008573608988856092
AC004158.3,0.0002862360837183754
AC004160.4,0.00017973221583131427
AC004223.4,0.001467929406293707
AC004231.1,0.00029442777774212
AC004231.2,0.00015696845501617012
AC004232.2,0.0008177657181160368
AC004233.2,0.00154345826131827
AC004233.3,0.00407064673085793
AC004233.4,0.002300902702861806
AC004241.1,0.0011704516694606567
AC004257.1,0.0015149714740152565
AC004263.1,0.0010093781416332624
AC004264.1,0.002535772804542573
AC004381.6,0.0048154188931068
AC004449.1,0.0002206978456137567
AC004466.1,0.0013524398171301346
AC004477.3,0.0006454912892972059
AC004490.1,0.0005389790774176759
AC004492.1,0.0009020997939918858
AC004494.1,0.0017217573685757287
AC004510.3,0.0012022053148748855
AC004520.1,0.04338337397714465
AC004528.1,0.00033445950698993534
AC004528.2,0.00029720235427488595
AC004540.1,0.0020939704753435875
AC004540.2,0.0031821983666734987
AC004540.4,0.0011211851337986735
AC004540.5,0.003237672736728246
AC004542.2,0.0008074704730110833
AC004549.6,0.00015439136215799785
AC004556.1,0.01659571064856397
AC004585.1,0.007720180166826921
AC004593.1,0.00023972593428233684
AC004596.1,0.00033763020418450823
AC004623.2,0.00017200123995938577
AC004687.1,0.07437607760082503
AC004706.1,0.0001877934518283648
AC004707.1,0.00012554686700028955
AC004754.1,2.0860504389487357e-05
AC004754.3,0.0019719047062334836
AC004771.1,0.0012460241124070248
AC004771.3,0.0026766435254193485
AC004771.4,0.0030651209588378656
AC004771.5,0.0003641840277243739
AC004775.1,0.00019691174718755106
AC004791.2,0.02291405504857939
AC004801.3,0.00022783346116039049
AC004801.6,0.0017363822750945323
AC004803.1,0.00024091516650734125
AC004812.2,0.012020228666856415
AC004816.1,0.003219641757868049
AC004816.2,0.002706233322873317
AC004817.3,0.016720282303811916
AC004824.1,0.002766985717384434
AC004824.2,0.00010757193246670155
AC004825.2,0.003246047567089372
AC004832.6,0.005654316369342987
AC004834.1,7.162018327570459e-05
AC004835.1,4.822376464827651e-05
AC004837.2,0.00025637493581719096
AC004837.5,0.00022353888956194834
AC004839.1,0.006686129811083484
AC004846.1,0.0033626898848625195
AC004846.2,0.0027871034390493338
AC004854.2,0.014079316009945962
AC004854.4,0.0010513003595184426
AC004865.2,0.009938880215862684
AC004877.1,0.00037567704966648467
AC004878.2,0.0009320885171427417
AC004878.8,0.0005210680754767537
AC004884.2,0.0006763861123029718
AC004893.11,0.002989551836754254
