gene,lihc_expr
5S-rRNA-ENSG00000274759,0.00017493624407731895
5S-rRNA-ENSG00000277049,0.000327272502758527
5S-rRNA-ENSG00000277411,0.0012727932257677256
7SK,0.0010827390900312154
7SK-ENSG00000274303,0.0007158963312085194
7SK.1,0.000136983104440225
A1BG,0.09596637886482379
A1BG-AS1,0.015604265246175447
A1CF,0.05636001643126404
A2M,0.2236233348816556
A2M-AS1,0.02140997918654029
A2ML1,0.005724964929048111
A2ML1-AS1,0.00037126068570659696
A2ML1-AS2,0.0002255363581861166
A2MP1,0.0316949787898163
A3GALT2,0.00023873562267841944
A4GALT,0.005532968232667875
A4GNT,0.0006618442334394929
AAAS,0.053849126850204564
AACS,0.02033438433340119
AACSP1,0.0009770233770783102
AADAC,0.048546319958873305
AADACL4,0.00028328080276405105
AADACP1,0.00021013681606536132
AADAT,0.00819428715189279
AAED1,0.07773969532634756
AAGAB,0.06693742663841568
AAK1,0.20298909462043482
AAMDC,0.04294051012104393
AAMP,0.10941031154072005
AANAT,0.0014158707268407365
AAR2,0.0498093549121883
AARD,0.045112488103813665
AARS,0.07716016997087823
AARS2,0.03770481134514751
AARSD1,0.04327230067167812
AASDH,0.0322429487329302
AASDHPPT,0.07712720054322733
AASS,0.021757436887306063
AATBC,0.0037690844088018906
AATF,0.08803131187242187
AATK,0.0035987967458632657
AATK-AS1,3.771251512732275e-05
AB015752.3,0.0007400731848060422
AB019441.29,0.04417924691402724
ABALON,0.009970709391381647
ABAT,0.03806418591908392
ABC12-49244600F4.4,0.0008081772664814231
ABCA1,0.08849240839099053
ABCA10,0.004484586507950151
ABCA11P,0.02536405536925931
ABCA12,0.0023082482875031343
ABCA13,0.0017328080925206543
ABCA17P,0.0007120041248154892
ABCA2,0.04424672022727649
ABCA3,0.006585897893060751
ABCA4,0.0009724756063977189
ABCA5,0.05085544904159644
ABCA6,0.015934909436582732
ABCA7,0.043199167068934646
ABCA8,0.016228045208493424
ABCA9,0.006236671402838392
ABCA9-AS1,0.00020266188293494714
ABCB1,0.07619786174100882
ABCB10,0.025759345017718906
ABCB10P1,0.0002046368751381344
ABCB10P3,2.3658153159953317e-05
ABCB10P4,5.8318261576587017e-05
ABCB11,0.009742040737011837
ABCB4,0.02935532438088403
ABCB5,0.006038967139387012
ABCB6,0.024826203553398138
ABCB7,0.05554042051944504
ABCB8,0.03552185015018662
ABCB9,0.018569048173840662
ABCC1,0.07611350695460975
ABCC10,0.036340397876723565
ABCC11,0.006535838178777004
ABCC12,0.0002718240536147035
ABCC13,0.0044248528291579315
ABCC2,0.03271523150774722
ABCC3,0.04542301366247686
ABCC4,0.02888694938716314
ABCC5,0.050603211116995284
ABCC5-AS1,0.0004438334999238749
ABCC6,0.018440677693582905
ABCC6P1,0.00741337571187137
ABCC6P2,0.0010489671871207191
ABCC8,0.0010350551229259828
ABCC9,0.033359120145817635
ABCD1,0.01909650758785947
ABCD2,0.026864386773888655
ABCD3,0.056082353746186635
ABCD4,0.058165635782526204
ABCE1,0.11249183823949634
ABCF1,0.1769651496581447
ABCF2,0.06893593639361381
ABCF2P1,0.00014578406562435424
ABCF3,0.055857561636511954
ABCG1,0.0890855715526204
ABCG2,0.017369732608670762
ABCG4,0.000408006450875383
ABCG5,0.014240992974972177
ABCG8,0.011190815983380419
ABHD1,0.007021379796542189
ABHD10,0.05105014764044355
ABHD11,0.043308633767910686
ABHD11-AS1,0.0014215165562208494
ABHD12,0.08432822252188157
ABHD12B,0.0011651923985542983
ABHD13,0.05638925929789554
ABHD14A,0.062471599954517246
ABHD14A-ACY1,0.06553030355943572
ABHD14B,0.12108027832219864
ABHD15,0.049119250788286155
ABHD15-AS1,0.002022669488940945
ABHD16A,0.0625905743211647
ABHD16B,0.006673382309624427
ABHD17A,0.07354797821016637
ABHD17AP1,0.0012497376770407972
ABHD17AP3,0.0003817073623774375
ABHD17AP4,0.00024203538932651703
ABHD17AP6,0.0009263092375664787
ABHD17B,0.0526014913746191
ABHD17C,0.014522443371437582
ABHD18,0.040618509269826734
ABHD2,0.12087807468857664
ABHD3,0.12236057071101816
ABHD4,0.03388598693380302
ABHD5,0.05510632789083631
ABHD6,0.023468139401419702
ABHD8,0.01527486664663842
ABI1,0.17368991134904568
ABI2,0.08531045231590369
ABI3,0.12550658360344652
ABI3BP,0.009161862537782159
ABITRAM,0.0035751228620172692
ABL1,0.038907359617163025
ABL2,0.13270320916381095
ABLIM1,0.11492536095307823
ABLIM2,0.004611116362831433
ABLIM3,0.01634858283809313
ABO,0.009893495422436243
ABR,0.06432310482226766
ABRA,0.0035882420166818228
ABRACL,0.18770885891292277
ABRAXAS1,0.0366450585879744
ABRAXAS2,0.03661608165492527
ABT1,0.09267819327714166
ABTB1,0.07074624257371549
ABTB2,0.008281479858577606
AC000032.2,0.005993592549192273
AC000041.8,0.00040809808313250096
AC000068.10,0.018205045329573583
AC000068.5,0.002596464017166512
AC000068.9,0.0014506815945966106
AC000089.3,0.0026063568828594637
AC000095.9,0.0005884008044884639
AC000120.7,0.01121413667935693
AC000123.2,0.008138475957098988
AC000123.3,0.0011798789555673003
AC000123.4,0.002897421231972136
AC000403.4,0.0005619548836654931
AC001226.7,0.0003728907357697473
AC002044.1,0.0062715838355508
AC002044.3,0.0014972598575994395
AC002044.4,0.0009944152365864913
AC002056.3,0.0011215879429302233
AC002059.10,0.00034977106486002905
AC002064.7,0.00035091658821516814
AC002066.1,0.0010762910548313305
AC002075.2,0.002385811903169045
AC002075.4,0.005069149597714075
AC002076.10,0.0004306891339447756
AC002094.3,0.3760256155543195
AC002116.7,0.0013343170913972637
AC002116.8,0.028324313767132136
AC002117.1,0.01879530673164946
AC002128.5,0.000337124328511088
AC002306.1,0.007359174927635738
AC002310.1,0.012017080530368587
AC002310.10,0.00018703669471106232
AC002310.12,0.009073302119878267
AC002310.13,0.0034351657449652197
AC002310.14,0.0008043564686010348
AC002310.4,0.012998181257556833
AC002310.5,0.0201882830721163
AC002310.7,0.002488076120822571
AC002331.1,0.020878789255283664
AC002366.3,0.0006402910189676096
AC002383.2,0.0009339990467380906
AC002398.1,0.00048433083336085227
AC002398.11,0.007647711144408741
AC002398.12,8.142378758641873e-05
AC002398.13,0.001322194720084691
AC002398.9,0.0700146994060472
AC002400.1,0.0016001326592997064
AC002401.1,0.0006235749352076917
AC002429.5,0.0002672551743866064
AC002451.3,0.0016765772073420672
AC002454.1,0.0008171284290835617
AC002456.2,0.001188770003631368
AC002467.1,0.010921866331836894
AC002467.7,0.008518943465704967
AC002472.11,0.0006658908312966071
AC002480.2,0.0016755604914029437
AC002480.3,0.0012117088818617533
AC002480.4,0.0014643364983926068
AC002480.5,0.001217943222528717
AC002511.3,0.00040919766902759995
AC002519.6,0.0003239732472634787
AC002519.8,0.0005666448455213467
AC002539.1,0.00016503567743407293
AC002543.2,0.002936415807164837
AC002550.5,0.003912689704480039
AC002550.6,0.0006851492317517794
AC002551.1,0.0008658855684214436
AC002553.4,0.0020259585741897435
AC002558.3,0.02514351263235115
AC002985.1,0.01211172608025043
AC002985.3,0.15233546015264454
AC003002.1,0.015192480671693822
AC003002.2,0.0075828356680988996
AC003002.3,0.004147883437094515
AC003002.4,0.01396957900027245
AC003002.6,0.007854465755308897
AC003005.4,0.008203662384423894
AC003006.1,0.011227434342994932
AC003006.7,0.005686010728400315
AC003075.4,0.01837387508872354
AC003090.1,0.0003060269504384985
AC003102.1,0.006264829555043664
AC003104.1,0.0031126550549760565
AC003681.1,0.005731705215063054
AC003682.16,0.0002849305549921805
AC003688.1,0.12624730110393542
AC003956.1,0.00031010671556444075
AC003973.3,0.0035470158422734547
AC003986.6,0.00038500627169748143
AC003989.3,0.002385994510081592
AC003991.3,0.0012238447781282803
AC004009.3,0.0001362330160107849
AC004012.1,0.0011608999068391938
AC004019.13,0.0003174246663890127
AC004054.1,0.0011981336622108722
AC004057.1,0.015300539298020015
AC004067.5,0.00101123516597293
AC004069.2,0.004534855238699934
AC004076.1,0.0030564834988132603
AC004076.5,0.0027671594552071965
AC004076.7,0.007510474812043349
AC004076.9,0.004227421770183998
AC004112.4,0.001854351714491205
AC004156.3,0.0003935172553269736
AC004158.3,0.0024122892727963864
AC004223.3,0.015529564121653927
AC004231.2,0.0006758573250273778
AC004237.1,0.001473664983518825
AC004241.1,0.007388344283829622
AC004257.1,0.00023653576725206132
AC004264.1,0.004440862565296058
AC004381.6,0.009239224055165076
AC004381.7,0.000988373916124649
AC004386.4,0.0023301139665361276
AC004448.2,0.0014189721984577868
AC004448.5,0.001651973262381026
AC004453.1,0.002162986318738223
AC004453.8,0.13126439786055227
AC004471.9,0.0016865309510772806
AC004477.1,0.007182017816732249
AC004490.1,0.0009396290174488357
AC004510.3,0.00023773568948406
AC004538.3,0.0004366866022405776
AC004540.4,0.00825404690313277
AC004540.5,0.0018925382752258315
AC004549.6,0.02356537986619599
AC004552.1,0.0005750267168459356
AC004556.1,0.035689741694448544
AC004593.3,0.0027720725804144123
AC004603.4,4.571483841082124e-05
AC004623.2,0.005250202340185877
AC004623.3,0.0012427384800169502
AC004687.1,0.11621518635933101
