enzyme_class,enz_gene,count
DUB,USP15,86
DUB,USP10,25
E3,STUB1,24
E3,AURKA,20
E3,WWP1,16
E3,CDC20,6
E3,PPIL2,6
E3,FBXO7,3
DUB,USP12,2
E3,MPG,2
E3,NEDD4,2
DUB,USP8,2
DUB,ZC3H12A,1
E3,DTL,1
E3,DTX3L,1
E3,SQSTM1,1
E3,TRIM27,1
E3,UBR4,1
