enz_ac
A6NLU0
A6NNE9
A6NNY8
A8MQ27
B3SRS0
O00308
O00487
O00507
O00623
O00635
O14508
O14512
O14543
O14544
O14965
O15151
O15164
O15304
O15344
O15372
O15524
O43164
O43255
O43567
O43663
O43734
O43791
O60260
O60291
O60337
O60683
O60784
O60858
O60907
O75150
O75159
O75317
O75382
O75592
O75604
O75717
O75928
O76050
O76064
O92608
O94782
O94844
O94889
O94952
O94955
O94966
O94972
O95071
O95155
O95198
O95376
O95628
O95630
O95714
O95786
O95835
P00748
P03126
P06463
P08393
P09874
P09936
P0C2W1
P0CI25
P10523
P11441
P12830
P12956
P14373
P15374
P15918
P19474
P21580
P21583
P22681
P29372
P29590
P35125
P35226
P35869
P36406
P37231
P38398
P40337
P40818
P41002
P45974
P46736
P46934
P48742
P49427
P50876
P51617
P51784
P53804
P54252
P54578
P54725
P62068
P62253
P62877
P63244
P69720
P78317
P90489
P90495
P98170
Q00987
Q01804
Q05086
Q05CD9
Q06587
Q07869
Q09472
Q0WX57
Q12834
Q12899
Q12933
Q13049
Q13064
Q13077
Q13107
Q13114
Q13191
Q13216
Q13233
Q13263
Q13309
Q13356
Q13489
Q13490
Q13501
Q13829
Q14139
Q14145
Q14258
Q14527
Q14669
Q14694
Q149N8
Q15018
Q15040
Q15257
Q15386
Q15751
Q16531
Q2Q1W2
Q4G0A6
Q504Q3
Q53G59
Q53GS9
Q53GT1
Q5D1E8
Q5GLZ8
Q5T0T0
Q5T2D3
Q5T447
Q5T4S7
Q5T6F0
Q5TA31
Q5TAQ9
Q5TC82
Q5U5Q3
Q5U5R9
Q5VTB9
Q5VTR2
Q5VU92
Q5VV17
Q5VVJ2
Q5VVQ6
Q5XPI4
Q5XUX0
Q5XX13
Q63HN8
Q66K64
Q66K89
Q68DV7
Q693B1
Q6GQQ9
Q6JEL2
Q6P050
Q6P3S6
Q6P468
Q6PCD5
Q6PCT2
Q6PJ21
Q6PJ69
Q6Q0C0
Q6R327
Q6R6M4
Q6TDP4
Q6UWE0
Q6VVB1
Q6X9E4
Q6ZMZ0
Q6ZN04
Q6ZNA4
Q6ZW49
Q70CQ1
Q70CQ2
Q70CQ3
Q70EK8
Q70EK9
Q70EL2
Q70EL3
Q70EL4
Q75N03
Q76N89
Q7L5Y6
Q7L8S5
Q7Z419
Q7Z4K8
Q7Z569
Q7Z6E9
Q7Z6J0
Q7Z6M2
Q7Z6Z7
Q86T82
Q86T96
Q86TM6
Q86UV5
Q86UW9
Q86WB0
Q86WC4
Q86WT6
Q86XK2
Q86XS8
Q86XT4
Q86Y01
Q86Y13
Q86YJ5
Q86YT6
Q8IUD6
Q8IUQ4
Q8IWR1
Q8IWV7
Q8IWV8
Q8IX12
Q8IXQ5
Q8IYM9
Q8IYU2
Q8IYW5
Q8N1E6
Q8N2H9
Q8N2W9
Q8N3Y1
Q8N448
Q8N531
Q8N5J2
Q8N5Z5
Q8N6D2
Q8N806
Q8N8N0
Q8N9I9
Q8NB14
Q8NC42
Q8NCQ5
Q8ND25
Q8NEG5
Q8NEZ5
Q8NFD5
Q8NFZ0
Q8NG06
Q8NG27
Q8NHG8
Q8NHM5
Q8NHY2
Q8NI29
Q8TB52
Q8TBB1
Q8TCJ0
Q8TCQ1
Q8TDB6
Q8TE67
Q8TEB1
Q8TEB7
Q8TEL6
Q8TEY7
Q8WU17
Q8WV16
Q8WV44
Q8WVD3
Q8WXG1
Q8WXH4
Q8WXH5
Q8WY64
Q8WZ19
Q8WZ60
Q8WZ73
Q92466
Q92560
Q92630
Q92844
Q92905
Q92995
Q93008
Q93009
Q969H0
Q969K3
Q969P5
Q969Q1
Q969U6
Q969V5
Q96A61
Q96AX9
Q96BH1
Q96BN8
Q96CA5
Q96CS3
Q96D59
Q96DC9
Q96DX5
Q96DX7
Q96EP0
Q96EP1
Q96EQ8
Q96EX2
Q96F44
Q96FA3
Q96FW1
Q96G74
Q96GF1
Q96J02
Q96JH7
Q96JP5
Q96JY6
Q96K19
Q96K76
Q96LD4
Q96M02
Q96M94
Q96ME1
Q96MT1
Q96PM5
Q96PU4
Q96PU5
Q96Q27
Q96RU2
Q96RU7
Q96S21
Q96SW2
Q96T88
Q99496
Q99618
Q99619
Q99675
Q99728
Q99942
Q9BR09
Q9BRZ2
Q9BSM1
Q9BUZ4
Q9BV68
