model_label,model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
GraphSAGE,Stacking_GraphSAGE_XGB_NN,0.8314214212409021,0.0218437993151491,0.8893078226369289,0.0227737810112341
GAT,GAT,0.7130318766425172,0.0298899352362814,0.791507762880336,0.0265329678579471
