embedding_model,model_label,params_million,feature_type,algorithm,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
esm2_t6_8M_UR50D,ESM2-8M,8,per_sequence,xgboost,0.7475518802974336,0.021591407618629,0.8336021730247953,0.0316115593437555,0.7551450768998491,0.0244977956086002,0.6848051237991097,0.0323425810672165,0.7246097245974082,0.0548982273325866,0.791898616151369,0.0253371733147632,0.2217031840689048,0.0205950949427826
esm2_t12_35M_UR50D,ESM2-35M,35,fusion,xgboost,0.7538056426324815,0.0259050494694073,0.8339938667810717,0.039707076507187,0.7651517052927457,0.0261647424327697,0.6994916556015517,0.0303801398117602,0.736696471132359,0.0509954347358673,0.7981875042015362,0.0182215445362528,0.214207753496967,0.0190855957341544
esm2_t30_150M_UR50D,ESM2-150M,150,per_sequence,xgboost,0.75357084186226,0.0309245276084722,0.8355905930665533,0.03727244241109,0.7600079108300739,0.0267257588552597,0.6928741961519436,0.0324509892719108,0.7320111467187769,0.0511595321172746,0.7926879798476497,0.0226420912053888,0.2170850952801591,0.0236490625969969
prot_bert,ProtBERT,420,fusion,xgboost,0.7280068113196987,0.0295127582180275,0.8183582320809405,0.0384737844649144,0.7495411565756452,0.0294215131352917,0.6759276471660287,0.0292098184245793,0.7125616452822061,0.0426254249335014,0.7917246199709038,0.0241626849436486,0.2275509651482093,0.02183572445213
prot_bert_bfd,ProtBERT-BFD,420,fusion,xgboost,0.7511369468622238,0.0213421409336601,0.8355362856331532,0.0328502127216274,0.7613668774254371,0.0230156045276384,0.6928722434846,0.0245672914478437,0.7284371915834429,0.0419928090915582,0.7994535207450638,0.0277490544190625,0.2176101327782384,0.0175555423127059
esm2_t33_650M_UR50D,ESM2-650M,650,per_sequence,xgboost,0.7582921426599045,0.0280706700490052,0.8421199546031387,0.0373249790566678,0.7631187131074635,0.0236368302940671,0.6941645187325887,0.0277377559461493,0.7285373795883826,0.0464516956875211,0.8030598984359869,0.0127840203973333,0.2150886490738308,0.0198710608591388
esm2_t36_3B_UR50D,ESM2-3B,3000,fusion,xgboost,0.7594059217930198,0.0173104248314475,0.8463114032143025,0.0241963713391168,0.7561574664236483,0.0244356435884376,0.6880311906063683,0.0272299573069305,0.7275667907221286,0.0456964517302749,0.7887203113953232,0.0125033144908042,0.2153503508067328,0.0193501798991597
