Comparison,PR_AUC_improvement,ROC_AUC_improvement
GraphSAGE,0.018299999999999983,0.03979999999999995
HeteroGraphSAGE,0.04049999999999998,0.06379999999999997
Edge-Aware HeteroGNN,0.04620000000000002,0.07340000000000002
HGT,0.05030000000000001,0.07929999999999993
Final Hetero Ensemble,0.0595,0.08960000000000001
