enzyme_class,enz_gene,enz_ac,n_top50,mean_prob,mean_std
DUB,USP15,Q9Y4E8,22,0.9948595222727273,0.0018067809090909091
E3,AURKA,O14965,21,0.9948504057142857,0.0018371540333333334
DUB,USP10,Q14694,5,0.9948341660000001,0.0017901803600000002
E3,CDC20,Q12834,2,0.9948516000000001,0.0017319927000000001
