,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch
mean,0.8217995163004239,0.8783286908425778,0.7992124646056293,0.7540383764221927,0.8003400320900298,0.8005170834373965,0.1780723390343099,147.0
std,0.02059830640551098,0.015853511307388282,0.02641149489754233,0.024139962886815497,0.03441485151371747,0.050482938638850214,0.01992553793685797,32.901367752724205
