,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch
mean,0.8458230408960989,0.9004858774827605,0.8104676026684118,0.7693699393371344,0.8154623205326791,0.8061598911137133,0.170571743025776,109.6
std,0.010257693550134993,0.012917758989829468,0.019467908367905854,0.010637836330504254,0.0033041557770460347,0.03619550858460388,0.016807960151737553,37.387163572541844
