,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,coef_graphsage,coef_xgb,coef_nn,intercept
mean,0.8314214212409021,0.8893078226369289,0.8112786757904912,0.7633986826004321,0.7951110438369458,0.8302985915628647,0.1651971748351279,2.7067061701030353,0.5743809946196489,1.108007656095167,-2.070084093768654
std,0.021843799315149137,0.022773781011234145,0.02025781247918961,0.02012596837504769,0.03413358888890499,0.04245979915211351,0.013425903647790794,0.1674669592317378,0.1064391096778877,0.04702279186410405,0.07677034408782638
