model,w_hgt,w_edgeaware,w_hetero,w_graphsage,w_xgb,w_nn,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
hgt0.5_edge0.3_hetero0.2,0.5,0.3,0.2,0.0,0.0,0.0,0.87163175617867,0.019179283424511792,0.9195274109798515,0.01604914900547498,0.8327329890605661,0.02385919661278946,0.7955183680908121,0.021771320605570896,0.8345607789428708,0.03075927254149248,0.8319222529745769,0.035389941883578,0.14898357480192578,0.016194233809093798
hgt0.6_edge0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.8701616879759548,0.019674037766001,0.9172797806970003,0.015954189394288883,0.8293541219459193,0.024188653695991744,0.7916449269702414,0.023117945205674045,0.8330124562571062,0.0360841285128257,0.8272085222273535,0.037812097599859755,0.1514639437783577,0.01716255272785023
hgt0.4_edge0.2_hetero0.2_xgb0.1_nn0.1,0.4,0.2,0.2,0.0,0.1,0.1,0.8690302831499255,0.02013658245795855,0.9168972083762021,0.019367331094139822,0.8342995230230388,0.023115838201624085,0.7966483115936368,0.020034475953017467,0.8324217957158613,0.027048018667216726,0.8369723285037465,0.03439274177642704,0.14427819407323766,0.013419965534985496
hgt0.7_edge0.3,0.7,0.3,0.0,0.0,0.0,0.0,0.8696371119209474,0.02052961304697472,0.9168638315260678,0.016468642185949983,0.8279635966999311,0.024686889553580865,0.7911604051133849,0.023569208920696413,0.8364190525491374,0.034648282984394145,0.8211360950335294,0.03934568725912353,0.15250248629395896,0.017411708576526092
hgt0.5_edge0.3_graph0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.8688785449332356,0.022024536254494825,0.9162250378560538,0.018263242192053764,0.8300617825950939,0.025142529301507087,0.791806217292822,0.024644275995598763,0.8309455597227258,0.03616739599865984,0.8307815381743099,0.04012962748319693,0.14887334888653644,0.01741422283150062
hgt0.5_edge0.2_xgb0.2_nn0.1,0.5,0.2,0.0,0.0,0.2,0.1,0.863866422376201,0.02043316817239451,0.9126662658671207,0.019669760680571153,0.8323395159007054,0.023997830809063255,0.7940659741206488,0.023010798342126455,0.830758746207926,0.03363748013388397,0.8351971930784641,0.036935958556671686,0.1464424678876232,0.013815639014484076
all_equal,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8624509664706246,0.019601829310947977,0.9117965874658307,0.02036534633275142,0.8353620802608182,0.018977198079901423,0.79551693613476,0.016600790790032776,0.8246468624012533,0.02512963295077431,0.8472899889310781,0.032580477008776,0.14705767500316966,0.011872014131699195
hgt_only,1.0,0.0,0.0,0.0,0.0,0.0,0.8613435190928526,0.023295990298493614,0.9102952233658546,0.01846973529483437,0.8230751075725721,0.026109643073852155,0.7861572808456352,0.025290389155266994,0.8350129975925912,0.034516615721324355,0.812656453524039,0.03724817978202151,0.162200545303522,0.018639243222267395
