,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,intercept,coef_prob_hgt,coef_prob_edgeaware,coef_prob_hetero,coef_prob_graphsage,coef_prob_xgb,coef_prob_nn
mean,0.8682492684861021,0.9161826670928928,0.8346820700525418,0.7947115259444401,0.8235887445696164,0.8471708210803792,0.14598372428978895,-2.258773510246184,1.7926701073616296,0.8288615532474631,0.8893847298936501,0.2956942737420857,0.213877933770018,0.7515959178656224
std,0.020379258823532448,0.020298648454449057,0.023724148048324418,0.02182136936789939,0.029238422365861994,0.03775068965753059,0.013494975010348872,0.04564294803760803,0.10391702562051924,0.13294063897435138,0.15488672502908413,0.161854794541063,0.15071401113588806,0.044217506274475606
