roc_auc,pr_auc,f1,accuracy,precision,recall,brier,epoch,train_loss,fold
0.5110686860295449,0.5817484288111107,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2722089562033586,0,0.7834992408752441,0
0.5303436964139268,0.5841176350411494,0.7333677153171738,0.5830645161290322,0.5804081632653061,0.9957983193277311,0.2443732158075015,1,0.7056569457054138,0
0.5622503754353453,0.6270129255571997,0.7315054319710295,0.5814516129032258,0.5799835931091059,0.9901960784313726,0.24152075246290586,2,0.6724980473518372,0
0.5927804581908809,0.6602993129589139,0.7318840579710145,0.582258064516129,0.5804597701149425,0.9901960784313726,0.24111313911323953,3,0.668485164642334,0
0.6042378928757814,0.6694912207222494,0.7315054319710295,0.5814516129032258,0.5799835931091059,0.9901960784313726,0.24345791784647391,4,0.6644538044929504,0
0.6118384616203896,0.685282013600881,0.7315054319710295,0.5814516129032258,0.5799835931091059,0.9901960784313726,0.2459813391352769,5,0.6541301012039185,0
0.6150656079922463,0.6906670510976033,0.7312273433454168,0.5814516129032258,0.580115036976171,0.988795518207283,0.2453547640842724,6,0.655468761920929,0
0.617881373081552,0.6935791935678948,0.7290899526564966,0.5846774193548387,0.5838247683235046,0.9705882352941176,0.24165528888631022,7,0.6507101655006409,0
0.6195042655845608,0.6945075722227869,0.7165775401069518,0.5725806451612904,0.5795847750865052,0.938375350140056,0.2382077679682618,8,0.6499351263046265,0
0.6210739048471099,0.6963196484124299,0.7043956043956044,0.5661290322580645,0.5795660036166366,0.8977591036414566,0.23598837256182917,9,0.6446484923362732,0
0.6216517025060975,0.6974261101087178,0.7062780269058296,0.5774193548387097,0.5887850467289719,0.8823529411764706,0.2352276623530918,10,0.642414391040802,0
0.6252995494775857,0.7002756852088713,0.7160087719298246,0.582258064516129,0.5882882882882883,0.9145658263305322,0.23580458870322052,11,0.6355704665184021,0
0.6298180869305897,0.7015399468605501,0.7180592991913747,0.5782258064516129,0.5836985100788782,0.9327731092436975,0.23798835776483962,12,0.6322293281555176,0
0.6347812889414322,0.7022899885601002,0.7218366257341164,0.5798387096774194,0.5832614322691976,0.9467787114845938,0.23940211966262148,13,0.6322320699691772,0
0.6407456518729164,0.7054446063435711,0.7234513274336283,0.5967741935483871,0.5978062157221207,0.9159663865546218,0.23756223721579725,14,0.6281333565711975,0
0.6457754204343334,0.7078324323899418,0.7012522361359571,0.5959677419354839,0.6105919003115264,0.8235294117647058,0.23420304539481387,15,0.6281169056892395,0
0.6508717555463249,0.7089566322535003,0.6960972488803583,0.6169354838709677,0.64075382803298,0.7619047619047619,0.23200641929378202,16,0.6268597841262817,0
0.6532921153252175,0.7086332859867294,0.6977660972404731,0.6290322580645161,0.6571782178217822,0.7436974789915967,0.23152355170803746,17,0.6239601969718933,0
0.6564393818363847,0.7091368111859462,0.7081218274111675,0.6290322580645161,0.6473317865429234,0.7815126050420168,0.23153088927341556,18,0.6263729929924011,0
0.659248490270633,0.7099860031442987,0.7294256956779159,0.6314516129032258,0.6317948717948718,0.8627450980392157,0.23199068461396505,19,0.6250026822090149,0
0.6609672386064692,0.7096893732245886,0.730660643704122,0.6153225806451613,0.6121097445600757,0.9061624649859944,0.23271233108558828,20,0.6213947534561157,0
0.662595456433524,0.7097436535124018,0.7291082445316882,0.6104838709677419,0.608044901777362,0.9103641456582633,0.23273609900590586,21,0.6209077835083008,0
0.6634581589289709,0.7100459638000576,0.7314606741573034,0.614516129032258,0.6106941838649156,0.9117647058823529,0.23197120630457066,22,0.6208184957504272,0
