,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch
mean,0.8553725441138258,0.9062428631712283,0.8206033109472937,0.7780858652919889,0.8153720414365212,0.8277223778217195,0.16827119869722776,109.0
std,0.01512007636099953,0.013388510160299546,0.017214119154043268,0.018589438691403934,0.03547935723864392,0.035011572261548066,0.018671731237731463,32.341923257592455
