roc_auc,pr_auc,f1,accuracy,precision,recall,brier,epoch,train_loss,fold
0.4649726810876442,0.5351412049199836,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.32292100575305754,0,0.6956782937049866,0
0.4840080518899575,0.5515968775626888,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24876109139385044,1,0.8310914635658264,0
0.4975876282071764,0.5628323807460301,0.0,0.4241935483870968,0.0,0.0,0.25942136748693767,2,0.6648268699645996,0
0.509045062892077,0.5618123607790626,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2471725016701321,3,0.7227498888969421,0
0.529142835841561,0.5799333012661383,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24557156815918357,4,0.684808611869812,0
0.5581192553066854,0.6006900994535855,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2539199464318815,5,0.6626790165901184,0
0.5817423927746003,0.6080291318371335,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.25826436489021043,6,0.6694305539131165,0
0.5995249810950997,0.6124643551187343,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2563711380722435,7,0.6754664778709412,0
0.5872727417963384,0.6137938629618919,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2515627843867898,8,0.6713878512382507,0
0.5598140396843148,0.6055226937902944,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24711477495406567,9,0.6664660573005676,0
0.5430046543332162,0.5978270571115638,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24467527164212108,10,0.663287878036499,0
0.5366022834989509,0.5953335459285953,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24405776232133763,11,0.663348913192749,0
0.5379136445452706,0.596309643832916,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24402094716942366,12,0.6665624380111694,0
0.5444238531914667,0.6004670340320023,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2440699958525283,13,0.6670099496841431,0
0.5547350118754726,0.6060875990700612,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24448388148077627,14,0.6655248999595642,0
0.5678526163317037,0.6136890926874246,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2455274898188777,15,0.6631260514259338,0
0.5805002609408783,0.6214905090201074,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24707885767037474,16,0.6629157066345215,0
0.5901297781470003,0.628482504119286,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24871638359742224,17,0.6628627777099609,0
0.5958944414267608,0.6337642797681945,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.249958172376242,18,0.6632968783378601,0
0.5979912877698608,0.6373868951142443,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.25049423395017867,19,0.662382960319519,0
0.5976611176790108,0.6381595555777264,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.25025795986062804,20,0.6655991673469543,0
0.5955163434194971,0.6370387573993137,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2494526583345265,21,0.6625708341598511,0
0.5927684762117775,0.6359113236254446,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24838505089581703,22,0.6633521914482117,0
