,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch
mean,0.8613435190928526,0.9102952233658546,0.8230751075725721,0.7861572808456352,0.8350129975925912,0.812656453524039,0.1622005452662498,143.6
std,0.023295990298493614,0.01846973529483437,0.026109643073852155,0.025290389155266994,0.034516615721324355,0.03724817978202151,0.018639243235278793,32.55456957172065
