,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch
mean,0.7130318766425172,0.791507762880336,0.7609928187857687,0.6187932515816605,0.6192241367040711,0.9888311688311688,0.2456765206660597,31.6
std,0.029889935236281494,0.026532967857947135,0.018041060922303356,0.026804645712410924,0.027324776399499488,0.024974265722724907,0.017783735376070767,38.73370625179057
