src,dst,src_ac,dst_ac,geneA,geneB,edge_type,edge_label,edge_id
1532,1232,P45985,Q14315,MAP2K4,FLNC,ppi,-1,1232|1532
1852,1016,P15927,P40763,RPA2,STAT3,ppi,-1,1016|1852
1382,932,P84077,Q9NZ52,ARF1,GGA3,ppi,-1,932|1382
796,1261,P07333,P62993,CSF1R,GRB2,ppi,-1,796|1261
2077,288,P20749,Q99728,BCL3,BARD1,ppi,-1,288|2077
76,2013,P38398,P43246,BRCA1,MSH2,ppi,-1,76|2013
76,288,P38398,Q99728,BRCA1,BARD1,ppi,-1,76|288
664,529,Q99816,P38936,TSG101,CDKN1A,ppi,-1,529|664
1687,1235,Q15642,P60953,TRIP10,CDC42,ppi,-1,1235|1687
861,2001,Q99708,P28749,RBBP8,RBL1,ppi,-1,861|2001
1519,497,Q15311,P14635,RALBP1,CCNB1,ppi,-1,497|1519
692,1010,P12004,P24522,PCNA,GADD45A,ppi,-1,692|1010
1507,586,P51532,P03372,SMARCA4,ESR1,ppi,-1,586|1507
732,1948,P63165,P25445,SUMO1,FAS,ppi,-1,732|1948
1589,1790,P21333,P05556,FLNA,ITGB1,ppi,-1,1589|1790
1157,1001,P31947,P04150,SFN,NR3C1,ppi,-1,1001|1157
1526,1001,O43294,P04150,TGFB1I1,NR3C1,ppi,-1,1001|1526
1243,659,Q13002,Q9NRD5,GRIK2,PICK1,ppi,-1,659|1243
711,609,P42858,Q9BYW2,HTT,SETD2,ppi,-1,609|711
1687,711,Q15642,P42858,TRIP10,HTT,ppi,-1,711|1687
1113,1650,P15923,Q02535,TCF3,ID3,ppi,-1,1113|1650
798,522,P08069,P35568,IGF1R,IRS1,ppi,-1,522|798
16,798,O15524,P08069,SOCS1,IGF1R,ppi,-1,16|798
1837,522,P45983,P35568,MAPK8,IRS1,ppi,-1,522|1837
1859,522,P06213,P35568,INSR,IRS1,ppi,-1,522|1859
521,16,O60674,O15524,JAK2,SOCS1,ppi,-1,16|521
755,626,Q16637,P10415,SMN1,BCL2,ppi,-1,626|755
560,626,Q13625,P10415,TP53BP2,BCL2,ppi,-1,560|626
626,681,P10415,Q14457,BCL2,BECN1,ppi,-1,626|681
538,422,P15498,P12956,VAV1,XRCC6,ppi,-1,422|538
693,422,P13010,P12956,XRCC5,XRCC6,ppi,-1,422|693
202,1430,Q8N2W9,Q9UJU2,PIAS4,LEF1,ppi,-1,202|1430
2039,1430,O75030,Q9UJU2,MITF,LEF1,ppi,-1,1430|2039
2039,768,O75030,Q9Y6X2,MITF,PIAS3,ppi,-1,768|2039
2039,1095,O75030,P63279,MITF,UBE2I,ppi,-1,1095|2039
1053,1128,P33993,Q13415,MCM7,ORC1,ppi,-1,1053|1128
1053,1002,P33993,P06400,MCM7,RB1,ppi,-1,1002|1053
1053,1853,P33993,P27694,MCM7,RPA1,ppi,-1,1053|1853
1053,1939,P33993,Q14192,MCM7,FHL2,ppi,-1,1053|1939
799,1866,P08138,P22694,NGFR,PRKACB,ppi,-1,799|1866
575,556,Q9Y6H5,P37840,SNCAIP,SNCA,ppi,-1,556|575
540,1390,Q04206,P01100,RELA,FOS,ppi,-1,540|1390
540,768,Q04206,Q9Y6X2,RELA,PIAS3,ppi,-1,540|768
540,255,Q04206,Q96BH1,RELA,RNF25,ppi,-1,255|540
1359,615,P14921,Q9UER7,ETS1,DAXX,ppi,-1,615|1359
672,936,P31751,Q9UKG1,AKT2,APPL1,ppi,-1,672|936
796,16,P07333,O15524,CSF1R,SOCS1,ppi,-1,16|796
538,1387,P15498,Q15910,VAV1,EZH2,ppi,-1,538|1387
1343,1908,P98161,Q13563,PKD1,PKD2,ppi,-1,1343|1908
1403,735,P22459,Q12959,KCNA4,DLG1,ppi,-1,735|1403
541,543,P10644,P31321,PRKAR1A,PRKAR1B,ppi,-1,541|543
543,564,P31321,Q92667,PRKAR1B,AKAP1,ppi,-1,543|564
1102,623,P28482,O95147,MAPK1,NEK2,ppi,-1,623|1102
1999,1088,O15530,Q05513,PDPK1,PRKCZ,ppi,-1,1088|1999
98,887,Q09472,O75444,EP300,MAF,ppi,-1,98|887
1121,1233,P51587,Q06609,BRCA2,RAD51,ppi,-1,1121|1233
995,1002,O60381,P06400,HBP1,RB1,ppi,-1,995|1002
1002,922,P06400,Q96FV9,RB1,THOC1,ppi,-1,922|1002
995,1127,O60381,Q08999,HBP1,RBL2,ppi,-1,995|1127
1114,1749,P17542,P25791,TAL1,LMO2,ppi,-1,1114|1749
868,1275,P10909,P37173,CLU,TGFBR2,ppi,-1,868|1275
541,564,P10644,Q92667,PRKAR1A,AKAP1,ppi,-1,541|564
555,1042,P37275,Q92993,ZEB1,KAT5,ppi,-1,555|1042
895,789,P04629,P00519,NTRK1,ABL1,ppi,-1,789|895
869,1275,P36897,P37173,TGFBR1,TGFBR2,ppi,-1,869|1275
528,1260,P04637,Q9UNH5,TP53,CDC14A,ppi,-1,528|1260
63,167,P12830,Q75N03,CDH1,CBLL1,ppi,-1,63|167
77,1589,P40337,P21333,VHL,FLNA,ppi,-1,77|1589
77,1347,P40337,Q6IE81,VHL,JADE1,ppi,-1,77|1347
1440,85,Q01831,P54725,XPC,RAD23A,ppi,-1,85|1440
554,1589,P10275,P21333,AR,FLNA,ppi,-1,554|1589
1589,1746,P21333,P41180,FLNA,CASR,ppi,-1,1589|1746
1985,428,Q96S59,P51784,RANBP9,USP11,ppi,-1,428|1985
1999,870,O15530,P41743,PDPK1,PRKCI,ppi,-1,870|1999
1220,992,P45973,O43463,CBX5,SUV39H1,ppi,-1,992|1220
95,1721,Q05086,Q9UHD9,UBE3A,UBQLN2,ppi,-1,95|1721
657,565,Q99963,Q96B97,SH3GL3,SH3KBP1,ppi,-1,565|657
554,1934,P10275,P49116,AR,NR2C2,ppi,-1,554|1934
554,616,P10275,Q9Y6Q9,AR,NCOA3,ppi,-1,554|616
554,90,P10275,P78317,AR,RNF4,ppi,-1,90|554
1985,554,Q96S59,P10275,RANBP9,AR,ppi,-1,554|1985
554,276,P10275,Q96PM5,AR,RCHY1,ppi,-1,276|554
554,35,P10275,O75928,AR,PIAS2,ppi,-1,35|554
1040,944,Q92793,Q16236,CREBBP,NFE2L2,ppi,-1,944|1040
1040,1770,Q92793,Q13569,CREBBP,TDG,ppi,-1,1040|1770
1122,820,P52333,P42229,JAK3,STAT5A,ppi,-1,820|1122
976,1726,Q04724,Q9Y261,TLE1,FOXA2,ppi,-1,976|1726
523,976,P40189,Q04724,IL6ST,TLE1,ppi,-1,523|976
1494,1255,Q12929,O14640,EPS8,DVL1,ppi,-1,1255|1494
2000,1842,P15884,Q02363,TCF4,ID2,ppi,-1,1842|2000
5,518,O00623,P50542,PEX12,PEX5,ppi,-1,5|518
642,1024,Q15303,P78352,ERBB4,DLG4,ppi,-1,642|1024
642,632,Q15303,P46937,ERBB4,YAP1,ppi,-1,632|642
551,680,O75925,P42224,PIAS1,STAT1,ppi,-1,551|680
1024,1264,P78352,P63252,DLG4,KCNJ2,ppi,-1,1024|1264
635,1686,P53667,Q13873,LIMK1,BMPR2,ppi,-1,635|1686
1119,635,P49918,P53667,CDKN1C,LIMK1,ppi,-1,635|1119
1725,821,Q9UMX0,P42345,UBQLN1,MTOR,ppi,-1,821|1725
168,1255,Q76N89,O14640,HECW1,DVL1,ppi,-1,168|1255
1042,738,Q92993,P41212,KAT5,ETV6,ppi,-1,738|1042
1651,1039,Q13257,Q92731,MAD2L1,ESR2,ppi,-1,1039|1651
567,1863,Q99933,P11142,BAG1,HSPA8,ppi,-1,567|1863
951,468,P54253,Q93009,ATXN1,USP7,ppi,-1,468|951
588,95,P06401,Q05086,PGR,UBE3A,ppi,-1,95|588
85,559,P54725,P55036,RAD23A,PSMD4,ppi,-1,85|559
1055,559,P54727,P55036,RAD23B,PSMD4,ppi,-1,559|1055
296,104,Q9BWF2,Q13077,TRAIP,TRAF1,ppi,-1,104|296
5,26,O00623,O60683,PEX12,PEX10,ppi,-1,5|26
296,101,Q9BWF2,Q12933,TRAIP,TRAF2,ppi,-1,101|296
191,1345,Q8IUQ4,Q14807,SIAH1,KIF22,ppi,-1,191|1345
191,1348,Q8IUQ4,Q9HB71,SIAH1,CACYBP,ppi,-1,191|1348
808,1062,P13569,Q9HD26,CFTR,GOPC,ppi,-1,808|1062
1083,548,Q15759,O15379,MAPK11,HDAC3,ppi,-1,548|1083
202,504,Q8N2W9,O15105,PIAS4,SMAD7,ppi,-1,202|504
2092,1595,O75461,Q8N488,E2F6,RYBP,ppi,-1,1595|2092
346,1757,Q9NWF9,O00206,RNF216,TLR4,ppi,-1,346|1757
1536,510,Q14511,P84022,NEDD9,SMAD3,ppi,-1,510|1536
1070,1989,Q07820,Q92934,MCL1,BAD,ppi,-1,1070|1989
965,1463,O15392,Q96GD4,BIRC5,AURKB,ppi,-1,965|1463
1144,783,Q9Y572,Q13546,RIPK3,RIPK1,ppi,-1,783|1144
367,890,Q9UDY8,O95999,MALT1,BCL10,ppi,-1,367|890
617,1647,O00429,P49841,DNM1L,GSK3B,ppi,-1,617|1647
933,2037,Q9UBF6,Q13619,RNF7,CUL4A,ppi,-1,933|2037
1469,720,Q9NRI5,Q99689,DISC1,FEZ1,ppi,-1,720|1469
346,784,Q9NWF9,Q9NR96,RNF216,TLR9,ppi,-1,346|784
2064,1225,Q9H8V3,Q9NPB6,ECT2,PARD6A,ppi,-1,1225|2064
1003,2030,P10276,Q05516,RARA,ZBTB16,ppi,-1,1003|2030
280,1900,Q96RU7,P18848,TRIB3,ATF4,ppi,-1,280|1900
727,768,Q99684,Q9Y6X2,GFI1,PIAS3,ppi,-1,727|768
1536,267,Q14511,Q96J02,NEDD9,ITCH,ppi,-1,267|1536
404,631,Q9Y3C5,P42566,RNF11,EPS15,ppi,-1,404|631
666,463,Q92813,Q8TEY7,DIO2,USP33,ppi,-1,463|666
337,1095,Q9NS56,P63279,TOPORS,UBE2I,ppi,-1,337|1095
1804,1771,O15534,Q16526,PER1,CRY1,ppi,-1,1771|1804
989,1771,O15055,Q16526,PER2,CRY1,ppi,-1,989|1771
1049,1771,O00327,Q16526,ARNTL,CRY1,ppi,-1,1049|1771
861,1752,Q99708,P61968,RBBP8,LMO4,ppi,-1,861|1752
394,540,Q9UNL4,Q04206,ING4,RELA,ppi,-1,394|540
932,664,Q9NZ52,Q99816,GGA3,TSG101,ppi,-1,664|932
216,1507,Q8NFD5,P51532,ARID1B,SMARCA4,ppi,-1,216|1507
2064,402,Q9H8V3,Q9Y2M5,ECT2,KLHL20,ppi,-1,402|2064
1153,1666,P67870,P19784,CSNK2B,CSNK2A2,ppi,-1,1153|1666
1153,537,P67870,P07948,CSNK2B,LYN,ppi,-1,537|1153
101,285,Q12933,Q99618,TRAF2,CDCA3,ppi,-1,101|285
1928,2081,Q7L590,Q8NHQ1,MCM10,CEP70,ppi,-1,1928|2081
1749,685,P25791,Q15555,LMO2,MAPRE2,ppi,-1,685|1749
1177,1172,Q92997,O75909,DVL3,CCNK,ppi,-1,1172|1177
101,342,Q12933,Q9NVF7,TRAF2,FBXO28,ppi,-1,101|342
870,1225,P41743,Q9NPB6,PRKCI,PARD6A,ppi,-1,870|1225
1989,1157,Q92934,P31947,BAD,SFN,ppi,-1,1157|1989
1607,1366,P08670,Q9BT92,VIM,TCHP,ppi,-1,1366|1607
865,426,O14641,P45974,DVL2,USP5,ppi,-1,426|865
1277,1725,P52789,Q9UMX0,HK2,UBQLN1,ppi,-1,1277|1725
1961,225,Q13137,Q8TBB1,CALCOCO2,LNX1,ppi,-1,225|1961
515,1089,Q9P2A4,Q96EV8,ABI3,DTNBP1,ppi,-1,515|1089
101,453,Q12933,Q70EK8,TRAF2,USP53,ppi,-1,101|453
686,102,O76083,Q13049,PDE9A,TRIM32,ppi,-1,102|686
531,330,P51668,Q9HCM9,UBE2D1,TRIM39,ppi,-1,330|531
2030,22,Q05516,O43791,ZBTB16,SPOP,ppi,-1,22|2030
1541,316,Q16630,Q9H0M0,CPSF6,WWP1,ppi,-1,316|1541
1953,596,Q01844,P49327,EWSR1,FASN,ppi,-1,596|1953
785,682,O14964,Q5VSY0,HGS,GKAP1,ppi,-1,682|785
102,1725,Q13049,Q9UMX0,TRIM32,UBQLN1,ppi,-1,102|1725
865,607,O14641,Q7Z7J5,DVL2,DPPA2,ppi,-1,607|865
1649,1095,Q01826,P63279,SATB1,UBE2I,ppi,-1,1095|1649
412,330,Q9Y577,Q9HCM9,TRIM17,TRIM39,ppi,-1,330|412
1961,202,Q13137,Q8N2W9,CALCOCO2,PIAS4,ppi,-1,202|1961
101,2030,Q12933,Q05516,TRAF2,ZBTB16,ppi,-1,101|2030
1953,4,Q01844,O00308,EWSR1,WWP2,ppi,-1,4|1953
1084,607,Q96BY2,Q7Z7J5,MOAP1,DPPA2,ppi,-1,607|1084
106,1771,Q13191,Q16526,CBLB,CRY1,ppi,-1,106|1771
518,1141,P50542,Q9NTG7,PEX5,SIRT3,ppi,-1,518|1141
64,2030,P14373,Q05516,TRIM27,ZBTB16,ppi,-1,64|2030
945,1543,Q9UMX1,Q8NEA6,SUFU,GLIS3,ppi,-1,945|1543
1953,1080,Q01844,Q13601,EWSR1,KRR1,ppi,-1,1080|1953
664,160,Q99816,Q6UWE0,TSG101,LRSAM1,ppi,-1,160|664
1749,680,P25791,P42224,LMO2,STAT1,ppi,-1,680|1749
101,21,Q12933,O43734,TRAF2,TRAF3IP2,ppi,-1,21|101
1953,316,Q01844,Q9H0M0,EWSR1,WWP1,ppi,-1,316|1953
1830,127,O14777,Q53G59,NDC80,KLHL12,ppi,-1,127|1830
996,1795,O60936,P78324,NOL3,SIRPA,ppi,-1,996|1795
101,225,Q12933,Q8TBB1,TRAF2,LNX1,ppi,-1,101|225
1095,1590,P63279,Q13422,UBE2I,IKZF1,ppi,-1,1095|1590
1953,903,Q01844,P43005,EWSR1,SLC1A1,ppi,-1,903|1953
503,1057,Q14653,Q06830,IRF3,PRDX1,ppi,-1,503|1057
877,259,Q9NWT6,Q96DX5,HIF1AN,ASB9,ppi,-1,259|877
1894,861,P48059,Q99708,LIMS1,RBBP8,ppi,-1,861|1894
1334,225,O75525,Q8TBB1,KHDRBS3,LNX1,ppi,-1,225|1334
1095,967,P63279,O43353,UBE2I,RIPK2,ppi,-1,967|1095
22,607,O43791,Q7Z7J5,SPOP,DPPA2,ppi,-1,22|607
1953,1541,Q01844,Q16630,EWSR1,CPSF6,ppi,-1,1541|1953
1157,1802,P31947,O00444,SFN,PLK4,ppi,-1,1157|1802
1953,258,Q01844,Q96D59,EWSR1,RNF183,ppi,-1,258|1953
85,114,P54725,Q13501,RAD23A,SQSTM1,ppi,-1,85|114
2090,488,P05161,Q9UMW8,ISG15,USP18,ppi,-1,488|2090
1043,607,Q96AQ6,Q7Z7J5,PBXIP1,DPPA2,ppi,-1,607|1043
1631,1607,P14136,P08670,GFAP,VIM,ppi,-1,1607|1631
1502,259,P12277,Q96DX5,CKB,ASB9,ppi,-1,259|1502
923,330,Q96GG9,Q9HCM9,DCUN1D1,TRIM39,ppi,-1,330|923
127,225,Q53G59,Q8TBB1,KLHL12,LNX1,ppi,-1,127|225
695,1150,Q15233,Q9Y6D9,NONO,MAD1L1,ppi,-1,695|1150
46,127,O95198,Q53G59,KLHL2,KLHL12,ppi,-1,46|127
1953,1265,Q01844,Q15011,EWSR1,HERPUD1,ppi,-1,1265|1953
1095,1592,P63279,Q9UKT9,UBE2I,IKZF3,ppi,-1,1095|1592
101,549,Q12933,O43597,TRAF2,SPRY2,ppi,-1,101|549
101,936,Q12933,Q9UKG1,TRAF2,APPL1,ppi,-1,101|936
531,294,P51668,Q9BV68,UBE2D1,RNF126,ppi,-1,294|531
1953,85,Q01844,P54725,EWSR1,RAD23A,ppi,-1,85|1953
101,407,Q12933,Q9Y4K3,TRAF2,TRAF6,ppi,-1,101|407
101,301,Q12933,Q9BZY9,TRAF2,TRIM31,ppi,-1,101|301
1177,127,Q92997,Q53G59,DVL3,KLHL12,ppi,-1,127|1177
1961,274,Q13137,Q96ME1,CALCOCO2,FBXL18,ppi,-1,274|1961
766,1917,Q15561,Q9GZV5,TEAD4,WWTR1,ppi,-1,766|1917
246,442,Q92844,Q5D1E8,TANK,ZC3H12A,ppi,-1,246|442
1749,1349,P25791,Q9UPY8,LMO2,MAPRE3,ppi,-1,1349|1749
417,515,O15372,Q9P2A4,EIF3H,ABI3,ppi,-1,417|515
1541,127,Q16630,Q53G59,CPSF6,KLHL12,ppi,-1,127|1541
1615,996,P50552,O60936,VASP,NOL3,ppi,-1,996|1615
865,1061,O14641,Q8WTU0,DVL2,DDI1,ppi,-1,865|1061
101,1925,Q12933,Q15398,TRAF2,DLGAP5,ppi,-1,101|1925
43,1925,O94972,Q15398,TRIM37,DLGAP5,ppi,-1,43|1925
865,2004,O14641,Q15287,DVL2,RNPS1,ppi,-1,865|2004
1961,1928,Q13137,Q7L590,CALCOCO2,MCM10,ppi,-1,1928|1961
1494,640,Q12929,Q13155,EPS8,AIMP2,ppi,-1,640|1494
1815,1089,P30281,Q96EV8,CCND3,DTNBP1,ppi,-1,1089|1815
1330,1092,Q15154,Q9NYB9,PCM1,ABI2,ppi,-1,1092|1330
1223,529,P30279,P38936,CCND2,CDKN1A,ppi,-1,529|1223
225,241,Q8TBB1,Q8WZ19,LNX1,KCTD13,ppi,-1,225|241
640,225,Q13155,Q8TBB1,AIMP2,LNX1,ppi,-1,225|640
206,225,Q8N5Z5,Q8TBB1,KCTD17,LNX1,ppi,-1,206|225
101,419,Q12933,O75604,TRAF2,USP2,ppi,-1,101|419
43,20,O94972,O43663,TRIM37,PRC1,ppi,-1,20|43
74,225,P36406,Q8TBB1,TRIM23,LNX1,ppi,-1,74|225
865,1851,O14641,O43395,DVL2,PRPF3,ppi,-1,865|1851
1615,4,P50552,O00308,VASP,WWP2,ppi,-1,4|1615
1875,1456,P56545,Q15583,CTBP2,TGIF1,ppi,-1,1456|1875
865,528,O14641,P04637,DVL2,TP53,ppi,-1,528|865
308,1795,Q9C040,P78324,TRIM2,SIRPA,ppi,-1,308|1795
1961,292,Q13137,Q9BSM1,CALCOCO2,PCGF1,ppi,-1,292|1961
865,1379,O14641,O95817,DVL2,BAG3,ppi,-1,865|1379
1989,1953,Q92934,Q01844,BAD,EWSR1,ppi,-1,1953|1989
1615,303,P50552,Q9C026,VASP,TRIM9,ppi,-1,303|1615
1095,785,P63279,O14964,UBE2I,HGS,ppi,-1,785|1095
1510,1961,Q96GM5,Q13137,SMARCD1,CALCOCO2,ppi,-1,1510|1961
865,101,O14641,Q12933,DVL2,TRAF2,ppi,-1,101|865
1928,607,Q7L590,Q7Z7J5,MCM10,DPPA2,ppi,-1,607|1928
664,2052,Q99816,Q53EZ4,TSG101,CEP55,ppi,-1,664|2052
43,1928,O94972,Q7L590,TRIM37,MCM10,ppi,-1,43|1928
1771,101,Q16526,Q12933,CRY1,TRAF2,ppi,-1,101|1771
101,1961,Q12933,Q13137,TRAF2,CALCOCO2,ppi,-1,101|1961
1223,558,P30279,P46527,CCND2,CDKN1B,ppi,-1,558|1223
865,469,O14641,Q96BN8,DVL2,OTULIN,ppi,-1,469|865
1831,47,O43683,O95376,BUB1,ARIH2,ppi,-1,47|1831
113,101,Q13490,Q12933,BIRC2,TRAF2,ppi,-1,101|113
1953,43,Q01844,O94972,EWSR1,TRIM37,ppi,-1,43|1953
1707,1541,Q9BSL1,Q16630,UBAC1,CPSF6,ppi,-1,1541|1707
1674,330,P61077,Q9HCM9,UBE2D3,TRIM39,ppi,-1,330|1674
685,1349,Q15555,Q9UPY8,MAPRE2,MAPRE3,ppi,-1,685|1349
1725,362,Q9UMX0,Q9P2K6,UBQLN1,KLHL42,ppi,-1,362|1725
1607,1062,P08670,Q9HD26,VIM,GOPC,ppi,-1,1062|1607
558,101,P46527,Q12933,CDKN1B,TRAF2,ppi,-1,101|558
1541,4,Q16630,O00308,CPSF6,WWP2,ppi,-1,4|1541
1494,1330,Q12929,Q15154,EPS8,PCM1,ppi,-1,1330|1494
1953,1129,Q01844,Q13485,EWSR1,SMAD4,ppi,-1,1129|1953
1177,607,Q92997,Q7Z7J5,DVL3,DPPA2,ppi,-1,607|1177
1177,225,Q92997,Q8TBB1,DVL3,LNX1,ppi,-1,225|1177
737,732,P23497,P63165,SP100,SUMO1,ppi,-1,732|737
1104,258,P09467,Q96D59,FBP1,RNF183,ppi,-1,258|1104
541,2028,P10644,Q9ULZ3,PRKAR1A,PYCARD,ppi,-1,541|2028
1830,1630,O14777,Q9Y2J4,NDC80,AMOTL2,ppi,-1,1630|1830
1150,1630,Q9Y6D9,Q9Y2J4,MAD1L1,AMOTL2,ppi,-1,1150|1630
1953,1210,Q01844,Q9NQA5,EWSR1,TRPV5,ppi,-1,1210|1953
2005,101,Q15306,Q12933,IRF4,TRAF2,ppi,-1,101|2005
2030,2081,Q05516,Q8NHQ1,ZBTB16,CEP70,ppi,-1,2030|2081
785,1725,O14964,Q9UMX0,HGS,UBQLN1,ppi,-1,785|1725
1674,294,P61077,Q9BV68,UBE2D3,RNF126,ppi,-1,294|1674
1953,583,Q01844,O00330,EWSR1,PDHX,ppi,-1,583|1953
1672,1177,P48730,Q92997,CSNK1D,DVL3,ppi,-1,1177|1672
608,22,Q99836,O43791,MYD88,SPOP,ppi,-1,22|608
1953,1671,Q01844,P42679,EWSR1,MATK,ppi,-1,1671|1953
43,1409,O94972,Q96KB5,TRIM37,PBK,ppi,-1,43|1409
1830,1717,O14777,Q9P1Z2,NDC80,CALCOCO1,ppi,-1,1717|1830
1104,225,P09467,Q8TBB1,FBP1,LNX1,ppi,-1,225|1104
85,101,P54725,Q12933,RAD23A,TRAF2,ppi,-1,85|101
399,303,Q9Y297,Q9C026,BTRC,TRIM9,ppi,-1,303|399
1953,1480,Q01844,Q16558,EWSR1,KCNMB1,ppi,-1,1480|1953
2086,1717,P15407,Q9P1Z2,FOSL1,CALCOCO1,ppi,-1,1717|2086
1177,1851,Q92997,O43395,DVL3,PRPF3,ppi,-1,1177|1851
1088,1225,Q05513,Q9NPB6,PRKCZ,PARD6A,ppi,-1,1088|1225
2031,1519,P11234,Q15311,RALB,RALBP1,ppi,-1,1519|2031
1815,558,P30281,P46527,CCND3,CDKN1B,ppi,-1,558|1815
191,1334,Q8IUQ4,O75525,SIAH1,KHDRBS3,ppi,-1,191|1334
638,1432,Q07817,Q13323,BCL2L1,BIK,ppi,-1,638|1432
96,1595,Q06587,Q8N488,RING1,RYBP,ppi,-1,96|1595
1970,785,Q92783,O14964,STAM,HGS,ppi,-1,785|1970
93,974,P98170,P55211,XIAP,CASP9,ppi,-1,93|974
1443,2086,P17275,P15407,JUNB,FOSL1,ppi,-1,1443|2086
1095,35,P63279,O75928,UBE2I,PIAS2,ppi,-1,35|1095
1059,638,Q16611,Q07817,BAK1,BCL2L1,ppi,-1,638|1059
1129,1095,Q13485,P63279,SMAD4,UBE2I,ppi,-1,1095|1129
1815,529,P30281,P38936,CCND3,CDKN1A,ppi,-1,529|1815
664,785,Q99816,O14964,TSG101,HGS,ppi,-1,664|785
1651,1150,Q13257,Q9Y6D9,MAD2L1,MAD1L1,ppi,-1,1150|1651
529,692,P38936,P12004,CDKN1A,PCNA,ppi,-1,529|692
1815,1928,P30281,Q7L590,CCND3,MCM10,ppi,-1,1815|1928
98,1038,Q09472,Q8N9B5,EP300,JMY,ppi,-1,98|1038
166,1408,Q6ZW49,Q96BR9,PAXIP1,ZBTB8A,ppi,-1,166|1408
235,1408,Q8WV44,Q96BR9,TRIM41,ZBTB8A,ppi,-1,235|1408
225,1408,Q8TBB1,Q96BR9,LNX1,ZBTB8A,ppi,-1,225|1408
1928,1408,Q7L590,Q96BR9,MCM10,ZBTB8A,ppi,-1,1408|1928
865,1408,O14641,Q96BR9,DVL2,ZBTB8A,ppi,-1,865|1408
2081,1408,Q8NHQ1,Q96BR9,CEP70,ZBTB8A,ppi,-1,1408|2081
763,637,Q13794,Q07812,PMAIP1,BAX,ppi,-1,637|763
626,1432,P10415,Q13323,BCL2,BIK,ppi,-1,626|1432
626,1533,P10415,P55957,BCL2,BID,ppi,-1,626|1533
626,763,P10415,Q13794,BCL2,PMAIP1,ppi,-1,626|763
638,1533,Q07817,P55957,BCL2L1,BID,ppi,-1,638|1533
638,763,Q07817,Q13794,BCL2L1,PMAIP1,ppi,-1,638|763
1070,1432,Q07820,Q13323,MCL1,BIK,ppi,-1,1070|1432
1070,1533,Q07820,P55957,MCL1,BID,ppi,-1,1070|1533
786,626,O43521,P10415,BCL2L11,BCL2,ppi,-1,626|786
786,638,O43521,Q07817,BCL2L11,BCL2L1,ppi,-1,638|786
786,1070,O43521,Q07820,BCL2L11,MCL1,ppi,-1,786|1070
1989,638,Q92934,Q07817,BAD,BCL2L1,ppi,-1,638|1989
1989,626,Q92934,P10415,BAD,BCL2,ppi,-1,626|1989
1989,2033,Q92934,P27348,BAD,YWHAQ,ppi,-1,1989|2033
763,1070,Q13794,Q07820,PMAIP1,MCL1,ppi,-1,763|1070
1436,558,P24941,P46527,CDK2,CDKN1B,ppi,-1,558|1436
626,1553,P10415,Q14643,BCL2,ITPR1,ppi,-1,626|1553
71,1770,P29590,Q13569,PML,TDG,ppi,-1,71|1770
642,820,Q15303,P42229,ERBB4,STAT5A,ppi,-1,642|820
1270,1742,P06746,P18887,POLB,XRCC1,ppi,-1,1270|1742
679,820,P00533,P42229,EGFR,STAT5A,ppi,-1,679|820
679,1453,P00533,Q06124,EGFR,PTPN11,ppi,-1,679|1453
679,106,P00533,Q13191,EGFR,CBLB,ppi,-1,106|679
679,1261,P00533,P62993,EGFR,GRB2,ppi,-1,679|1261
792,1453,P04626,Q06124,ERBB2,PTPN11,ppi,-1,792|1453
792,1261,P04626,P62993,ERBB2,GRB2,ppi,-1,792|1261
630,1261,P21860,P62993,ERBB3,GRB2,ppi,-1,630|1261
630,1096,P21860,O00459,ERBB3,PIK3R2,ppi,-1,630|1096
642,1261,Q15303,P62993,ERBB4,GRB2,ppi,-1,642|1261
642,1453,Q15303,Q06124,ERBB4,PTPN11,ppi,-1,642|1453
642,1096,Q15303,O00459,ERBB4,PIK3R2,ppi,-1,642|1096
679,1016,P00533,P40763,EGFR,STAT3,ppi,-1,679|1016
2030,1230,Q05516,Q13547,ZBTB16,HDAC1,ppi,-1,1230|2030
2030,1283,Q05516,Q92769,ZBTB16,HDAC2,ppi,-1,1283|2030
2030,548,Q05516,O15379,ZBTB16,HDAC3,ppi,-1,548|2030
2030,365,Q05516,Q9UBN7,ZBTB16,HDAC6,ppi,-1,365|2030
261,71,Q96EP1,P29590,CHFR,PML,ppi,-1,71|261
821,158,P42345,Q6R327,MTOR,RICTOR,ppi,-1,158|821
821,874,P42345,Q8N122,MTOR,RPTOR,ppi,-1,821|874
2033,1258,P27348,Q53ET0,YWHAQ,CRTC2,ppi,-1,1258|2033
1258,1466,Q53ET0,Q9H0K1,CRTC2,SIK2,ppi,-1,1258|1466
2099,1851,Q15020,O43395,SART3,PRPF3,ppi,-1,1851|2099
955,673,P01889,P55072,HLA-B,VCP,ppi,-1,673|955
77,1526,P40337,O43294,VHL,TGFB1I1,ppi,-1,77|1526
2066,674,Q9NSA3,P35222,CTNNBIP1,CTNNB1,ppi,-1,674|2066
1095,633,P63279,P49792,UBE2I,RANBP2,ppi,-1,633|1095
1707,142,Q9BSL1,Q5XPI4,UBAC1,RNF123,ppi,-1,142|1707
1622,1707,Q13541,Q9BSL1,EIF4EBP1,UBAC1,ppi,-1,1622|1707
2050,1131,P60842,Q53EL6,EIF4A1,PDCD4,ppi,-1,1131|2050
1420,1152,P52565,P61586,ARHGDIA,RHOA,ppi,-1,1152|1420
