fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,coef_graphsage,coef_xgb,coef_nn,intercept
0,0.8077345006443643,0.8527929278154068,0.7780898876404494,0.7451612903225806,0.780281690140845,0.7759103641456583,0.1771231734819197,2.6920009114970465,0.5696024617956104,1.1526113272729186,-2.084713576871259
1,0.8413253909158601,0.8992923878219958,0.8177014531043593,0.7772397094430993,0.8264352469959947,0.8091503267973856,0.15798064906900747,2.557209984804724,0.7456418716093137,1.0833361624715583,-2.113753439871089
2,0.8293892225031605,0.8932023622465434,0.8224889450410613,0.7732041969330105,0.821969696969697,0.8230088495575221,0.16008772846131886,2.7294033558602466,0.5692888924349039,1.1494048704756727,-2.136300951684721
3,0.8629960421508178,0.9142307605864899,0.8302839116719243,0.7828894269572235,0.8034188034188035,0.8590078328981723,0.1495774675970103,2.578600955950707,0.45551075539178465,1.1137574162038595,-1.939573195629232
4,0.8156619499903082,0.8870206747142089,0.8078291814946619,0.738498789346247,0.7434497816593887,0.8844155844155844,0.18121685556638328,2.9763156424024535,0.5318609918666322,1.0409285040518266,-2.0760793047869712
