,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch
mean,0.8190753652221281,0.870958452097722,0.8048922782548992,0.7482281496524251,0.768648995129311,0.8470075610013603,0.17084693362692846,180.2
std,0.025180208783705395,0.029069610671623607,0.017378347396529197,0.019147632504218574,0.03698288479363836,0.036806466308640894,0.014216417614378214,18.89973544788392
