model,w_graph,w_xgb,w_nn,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
graph0.6_xgb0.2_nn0.2,0.6,0.2,0.2,0.8316796246379619,0.021890345885087543,0.8896723418601136,0.022306629178908858,0.8102520281581211,0.02111451257422213,0.7646897862480149,0.01983530050817023,0.8019421507613748,0.03092898633623638,0.8205481472833525,0.0415960165784403,0.16466033121919943,0.013961438549267288
graph0.5_xgb0.25_nn0.25,0.5,0.25,0.25,0.8289353506035109,0.02146259798339576,0.8881053346383512,0.02311725745125828,0.807329843771139,0.024246243763328963,0.7604953266161576,0.022632767409487484,0.796773057112655,0.033864589416037705,0.8198234446470039,0.04105843587119514,0.16568873962362904,0.013024896527416056
graph0.7_nn0.3,0.7,0.0,0.3,0.8314820142413856,0.022627545099777005,0.8879871687171527,0.023242374583536562,0.8050888188786789,0.026314534698173048,0.761140878439949,0.02091773928125642,0.8048455871047457,0.030675930463084953,0.8073946345281309,0.05001031707087952,0.16615893612520147,0.014622575672028149
graph0.6_nn0.4,0.6,0.0,0.4,0.8293713041058515,0.021500481248842858,0.8865645459465229,0.023974632696922838,0.806682964477986,0.024988685090921385,0.7632389544117264,0.02060233025151466,0.8069745932867896,0.028589096216699524,0.8078318231922139,0.04343767777021235,0.16675279258270204,0.013158276596704125
graph0.7_xgb0.3,0.7,0.3,0.0,0.8275669872896018,0.02118255230878356,0.885564728940366,0.019133071963225556,0.8057596980881107,0.024075702227081622,0.7582343981879246,0.02398310360731603,0.794687185425292,0.03381803020185851,0.8191888645303221,0.0449126631233547,0.1678264654308162,0.01584864610729195
graph0.8_xgb0.2,0.8,0.2,0.0,0.827840177358431,0.020945469850765366,0.8854768053775122,0.018547467100631283,0.8023800949260872,0.02414169491550401,0.7554902496810644,0.02385572560634104,0.7959905402715549,0.032842965014040514,0.8109490379623292,0.045820793581596776,0.16930436198876708,0.016955725678132527
graph0.4_xgb0.3_nn0.3,0.4,0.3,0.3,0.8236427203479197,0.0210126797454651,0.8852990435327797,0.02358105121461873,0.7991591891638014,0.01846316117501773,0.7488735712983936,0.017314350037848876,0.7848192494060032,0.030354322168887882,0.8151585339223958,0.029192526361452198,0.16846971215997314,0.012343322832533274
graph0.6_xgb0.4,0.6,0.4,0.0,0.8256749008381734,0.021208013690751055,0.884708439876239,0.01974900597128514,0.8089983618715783,0.01921179997065422,0.7600089822697805,0.019451132594330015,0.7909843945893191,0.03083923561542257,0.8294534432988758,0.03680765071040136,0.16828596347818414,0.015038609387869818
graph_only,1.0,0.0,0.0,0.8217995163004239,0.02059830640551098,0.8783286908425778,0.015853511307388282,0.7992124646056293,0.02641149489754233,0.7540383764221927,0.024139962886815497,0.8003400320900298,0.03441485151371747,0.8005170834373965,0.050482938638850214,0.1780723389206256,0.01992553796523009
