fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,intercept,coef_prob_hgt,coef_prob_edgeaware,coef_prob_hetero,coef_prob_graphsage,coef_prob_xgb,coef_prob_nn
0,0.843281038651202,0.8839843989266162,0.7935619314205739,0.7620967741935484,0.793006993006993,0.7941176470588235,0.16076518158694314,-2.2690493336266924,1.8658192417103219,0.7880608662127929,0.8806203844387169,0.2772919481618665,0.18671432849489428,0.7924946273334639
1,0.8770855740327073,0.9227515532240533,0.8500973393900065,0.8135593220338984,0.8440721649484536,0.8562091503267973,0.1371390217972505,-2.280369007055669,1.800519673187232,0.680438960282396,0.941201154477455,0.18627315797153712,0.44613689519680083,0.7143562647287061
2,0.8677504740834385,0.923387005501974,0.8372387587080431,0.7925746569814366,0.8388324873096447,0.8356510745891277,0.14326290651605186,-2.3095441337815465,1.7208974560801176,0.8365763949017072,1.024114543988499,0.1758451760473797,0.24543963319718667,0.8003133884278507
3,0.8968282006414255,0.938559879752535,0.8511749347258486,0.8159806295399515,0.8511749347258486,0.8511749347258486,0.1298988226519739,-2.1877148926450034,1.660407743209571,0.7961922810954212,0.9726020503230626,0.2655149233043204,0.15545493221872664,0.7479488724425264
4,0.8563010550217373,0.9122304980592859,0.841337386018237,0.7893462469733656,0.7908571428571428,0.8987012987012987,0.15885268889672544,-2.2471901841220108,1.915706422620905,1.0430392637449983,0.628385516240517,0.5735461632253247,0.03564387974248174,0.7028664363955647
