model_clean,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,recall_mean,brier_mean,brier_std,best_epoch_median
BCE,0.7634841153544609,0.022224780342263037,0.8440297599198642,0.031171202145171405,0.7453858606692968,0.03238061721217696,0.6973890234059725,0.021520614848988706,0.7674750584536141,0.7260211086092274,0.2521051704405185,0.018917119133713255,8.0
Weighted BCE,0.7626284726896768,0.02310331230209343,0.8384028296653948,0.03760569277127208,0.7415221496539194,0.029103837701160127,0.6967454242495249,0.020006117898573227,0.7773957844730726,0.7120597184041177,0.24521150701985173,0.0279429033248393,3.0
Focal,0.7731432334010391,0.020951400401795373,0.8460297879158615,0.03004330472104255,0.7572945906315285,0.03434959986098714,0.7099803431487411,0.022316198418626188,0.7742345468994226,0.7414011726798085,0.21825101783345174,0.01936144365239483,10.0
V2 Focal,0.7581923994381286,0.023344459576157665,0.8396038628462165,0.026606415403085133,0.7475365797207653,0.038674993671843926,0.7041705069124424,0.023913237704921424,0.7797187870223847,0.71872738478492,0.24439993378104957,0.025276024641043768,10.0
Hybrid Focal,0.7700504170685736,0.014666804861565162,0.8432118067596583,0.03016350103049068,0.7553222240809064,0.017055508249561143,0.7059413158374339,0.007946105920493808,0.7710195136037543,0.7409154572348684,0.21479431386459097,0.019215441187950322,12.0
