epoch,train_loss,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,fold,model_name,loss_name,model_clean
0,0.5914848828927065,0.7004491665874952,0.75984960125595,0.6882758620689655,0.635483870967742,0.66005291005291,0.7190201729106628,0.2211838789995289,0,neural_pair_scorer_resmlp_bce,bce,BCE
1,0.4196493358184129,0.7382377468832799,0.792575415978512,0.7017024426350851,0.675,0.7214611872146118,0.6829971181556196,0.2219800364287623,0,neural_pair_scorer_resmlp_bce,bce,BCE
2,0.2997674510265008,0.7332024363724652,0.7905289759578877,0.6708760852407262,0.6637096774193548,0.7417102966841187,0.6123919308357348,0.2441589716886663,0,neural_pair_scorer_resmlp_bce,bce,BCE
3,0.2270148048798243,0.7240211757502824,0.7872373550228711,0.7107093184979137,0.6645161290322581,0.6868279569892473,0.7363112391930836,0.2784702771130995,0,neural_pair_scorer_resmlp_bce,bce,BCE
4,0.1701873145424402,0.7235461464568094,0.7798222738930434,0.6980448950036205,0.6637096774193548,0.7016011644832606,0.6945244956772334,0.2803446863456846,0,neural_pair_scorer_resmlp_bce,bce,BCE
5,0.1072568060495914,0.718397356725887,0.7723638613537518,0.7013177159590044,0.6709677419354839,0.7127976190476191,0.6902017291066282,0.2926360480316768,0,neural_pair_scorer_resmlp_bce,bce,BCE
6,0.1104078694031788,0.7224694133916035,0.7636851806207774,0.707533234859675,0.6806451612903226,0.7257575757575757,0.6902017291066282,0.2881042895054529,0,neural_pair_scorer_resmlp_bce,bce,BCE
7,0.0556573495985223,0.7266971741035141,0.7679648470010545,0.6955223880597015,0.6709677419354839,0.7213622291021672,0.6714697406340058,0.2949899698386706,0,neural_pair_scorer_resmlp_bce,bce,BCE
8,0.0248450817038806,0.7195321489269615,0.76781983910765,0.6801498127340824,0.6556451612903226,0.7082683307332294,0.654178674351585,0.3155630142623384,0,neural_pair_scorer_resmlp_bce,bce,BCE
9,0.0206176755376733,0.7096792496648404,0.7611740021356338,0.7044649184975195,0.6637096774193548,0.6931659693165969,0.7161383285302594,0.3183311858227893,0,neural_pair_scorer_resmlp_bce,bce,BCE
