roc_auc,pr_auc,f1,accuracy,precision,recall,brier,fold,best_epoch,best_pr_auc_during_training,model_name,loss_name,model_clean
0.7382377468832799,0.792575415978512,0.7017024426350851,0.675,0.7214611872146118,0.6829971181556196,0.2219800364287623,0,1,0.792575415978512,neural_pair_scorer_resmlp_bce,bce,BCE
0.7603848891600569,0.856870256538914,0.7578125,0.6997578692493946,0.782258064516129,0.7348484848484849,0.2715235481976739,1,8,0.856870256538914,neural_pair_scorer_resmlp_bce,bce,BCE
0.7815940004655958,0.8704370324951005,0.7531943510423672,0.7037933817594835,0.7821229050279329,0.7263294422827496,0.2641418746050721,2,8,0.8704370324951005,neural_pair_scorer_resmlp_bce,bce,BCE
0.7468255343893452,0.8378386739777077,0.727147766323024,0.6795803066989508,0.7848664688427299,0.677336747759283,0.252170218219454,3,3,0.8378386739777077,neural_pair_scorer_resmlp_bce,bce,BCE
0.790378405874027,0.8624274206090865,0.7870722433460076,0.7288135593220338,0.7666666666666667,0.80859375,0.2507101747516304,4,21,0.8624274206090865,neural_pair_scorer_resmlp_bce,bce,BCE
0.7234537796497451,0.7733633001099702,0.6965966690803765,0.6620967741935484,0.7001455604075691,0.6930835734870316,0.2438091578580626,0,1,0.7733633001099702,neural_pair_scorer_resmlp_weighted_bce,weighted_bce,Weighted BCE
0.7656246469165933,0.8625278107885862,0.7525286581254215,0.7037933817594835,0.8075253256150506,0.7045454545454546,0.2831624436939756,1,18,0.8625278107885862,neural_pair_scorer_resmlp_weighted_bce,weighted_bce,Weighted BCE
0.784734000687308,0.8652373172699241,0.7324561403508771,0.7046004842615012,0.8391959798994975,0.6498054474708171,0.2058532748868043,2,1,0.8652373172699241,neural_pair_scorer_resmlp_weighted_bce,weighted_bce,Weighted BCE
0.7682975582754168,0.841880303778612,0.7740292807129217,0.7134786117836965,0.769620253164557,0.7784891165172856,0.2546152579829758,3,7,0.841880303778612,neural_pair_scorer_resmlp_weighted_bce,weighted_bce,Weighted BCE
0.7710323779193206,0.8490054163798811,0.752,0.6997578692493946,0.7704918032786885,0.734375,0.2386174006774405,4,3,0.8490054163798811,neural_pair_scorer_resmlp_weighted_bce,weighted_bce,Weighted BCE
0.7374618657039407,0.7935989882704946,0.6973977695167286,0.6717741935483871,0.7204301075268817,0.6757925072046109,0.2059153251728324,0,1,0.7935989882704946,neural_pair_scorer_resmlp_focal,focal,Focal
0.7756846993424175,0.8600429943999761,0.7777777777777778,0.7223567393058918,0.7962962962962963,0.76010101010101,0.2244571133019988,1,10,0.8600429943999761,neural_pair_scorer_resmlp_focal,focal,Focal
0.7926463578214551,0.8695695060836199,0.7713717693836978,0.7215496368038741,0.7886178861788617,0.754863813229572,0.1943077267032779,2,5,0.8695695060836199,neural_pair_scorer_resmlp_focal,focal,Focal
0.7787630906518906,0.8531165796699677,0.7601328903654485,0.70863599677159,0.7900552486187845,0.7323943661971831,0.2213856434219352,3,10,0.8531165796699677,neural_pair_scorer_resmlp_focal,focal,Focal
0.7811601534854917,0.8538208711552491,0.7797927461139896,0.7255851493139629,0.7757731958762887,0.7838541666666666,0.2451892805672144,4,46,0.8538208711552491,neural_pair_scorer_resmlp_focal,focal,Focal
0.7217120055736771,0.7951429646328634,0.6794773251345119,0.6637096774193548,0.728171334431631,0.6368876080691642,0.2193513271858184,0,2,0.7951429646328634,neural_pair_scorer_v2_focal,focal,V2 Focal
0.7519758547443111,0.8519689704556935,0.7597103357472021,0.705407586763519,0.7936726272352133,0.7285353535353535,0.2768304532631743,1,45,0.8519689704556935,neural_pair_scorer_v2_focal,focal,V2 Focal
0.7782406021705632,0.8651077305499815,0.761049723756906,0.7207425343018563,0.8138847858197932,0.7146562905317769,0.2340531269654991,2,10,0.8651077305499815,neural_pair_scorer_v2_focal,focal,V2 Focal
0.7607996130814262,0.8390421038124649,0.760898282694848,0.7078288942695722,0.7858117326057299,0.737516005121639,0.2654385395079401,3,23,0.8390421038124649,neural_pair_scorer_v2_focal,focal,V2 Focal
0.7782339216206652,0.8467575447800788,0.7765472312703583,0.7231638418079096,0.7770534550195567,0.7760416666666666,0.2263262219828161,4,8,0.8467575447800788,neural_pair_scorer_v2_focal,focal,V2 Focal
0.7484244861766476,0.7918245061909944,0.7250361794500724,0.6935483870967742,0.7281976744186046,0.7219020172910663,0.2223084198534618,0,12,0.7918245061909944,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking,Hybrid Focal
0.7736396402503785,0.8612979994399345,0.7616511318242344,0.7110573042776432,0.8056338028169014,0.7222222222222222,0.1919109064514667,1,4,0.8612979994399345,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking,Hybrid Focal
0.7877631447670358,0.8684042012672107,0.7625418060200669,0.7134786117836965,0.787292817679558,0.7392996108949417,0.1966560385322533,2,11,0.8684042012672107,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking,Hybrid Focal
0.7644633182181617,0.845843174537093,0.7610389610389611,0.7029862792574657,0.7720685111989459,0.7503201024327785,0.2333431947839803,3,19,0.845843174537093,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking,Hybrid Focal
0.775961495930644,0.8486891523630592,0.7663430420711974,0.70863599677159,0.7619047619047619,0.7708333333333334,0.2297530097017928,4,20,0.8486891523630592,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking,Hybrid Focal
