embedding_model,feature_type,algorithm,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std,model_label,clean_label
esm2_t36_3B_UR50D,fusion,xgboost,0.7594059217930198,0.0173104248314475,0.8463114032143025,0.0241963713391168,0.7561574664236483,0.0244356435884376,0.6880311906063683,0.0272299573069305,0.7275667907221286,0.0456964517302749,0.7887203113953232,0.0125033144908042,0.2153503508067328,0.0193501798991597,ESM2-3B,ESM2-3B | fusion | Xgboost
esm2_t36_3B_UR50D,per_sequence,xgboost,0.756736881625838,0.0193517133017414,0.8421232555784239,0.0278656223083577,0.7606101117215809,0.0279000605572378,0.6914219323596031,0.0311921163686863,0.7266970117611216,0.0484158866587035,0.7995727415932062,0.0148400881242261,0.2166092245900841,0.020212922980279,ESM2-3B,ESM2-3B | per-sequence | Xgboost
esm2_t33_650M_UR50D,per_sequence,xgboost,0.7582921426599045,0.0280706700490052,0.8421199546031387,0.0373249790566678,0.7631187131074635,0.0236368302940671,0.6941645187325887,0.0277377559461493,0.7285373795883826,0.0464516956875211,0.8030598984359869,0.0127840203973333,0.2150886490738308,0.0198710608591388,ESM2-650M,ESM2-650M | per-sequence | Xgboost
esm2_t33_650M_UR50D,fusion,xgboost,0.755620551568774,0.0289368906573384,0.8407798508903372,0.0408895141080857,0.760115289419843,0.0232373349338723,0.6920655315160509,0.0257594006002196,0.7290606953430407,0.0447962884930769,0.7954433742369001,0.0049606319502759,0.2156424495086068,0.0192175716606984,ESM2-650M,ESM2-650M | fusion | Xgboost
esm2_t36_3B_UR50D,per_sequence,random_forest,0.7537014281189693,0.0186941973742848,0.8375525558009211,0.0322578562507208,0.7725122678072573,0.0220995221773528,0.6712468431877945,0.0286633715632765,0.6722532790620888,0.0378759595906211,0.9102207731909944,0.0214094276894724,0.2038400605378896,0.0083806399037111,ESM2-3B,ESM2-3B | per-sequence | Random Forest
esm2_t36_3B_UR50D,fusion,random_forest,0.7547270420014989,0.0222686594440006,0.8368461235462116,0.0361724374042174,0.7724767932322008,0.0236761988584629,0.6707638834648129,0.0316926729643903,0.6718302574475845,0.0404606132904332,0.9112896445435296,0.0238443523625215,0.2037688754267548,0.0095780623089224,ESM2-3B,ESM2-3B | fusion | Random Forest
esm2_t30_150M_UR50D,per_sequence,xgboost,0.75357084186226,0.0309245276084722,0.8355905930665533,0.03727244241109,0.7600079108300739,0.0267257588552597,0.6928741961519436,0.0324509892719108,0.7320111467187769,0.0511595321172746,0.7926879798476497,0.0226420912053888,0.2170850952801591,0.0236490625969969,ESM2-150M,ESM2-150M | per-sequence | Xgboost
prot_bert_bfd,fusion,xgboost,0.7511369468622238,0.0213421409336601,0.8355362856331532,0.0328502127216274,0.7613668774254371,0.0230156045276384,0.6928722434846,0.0245672914478437,0.7284371915834429,0.0419928090915582,0.7994535207450638,0.0277490544190625,0.2176101327782384,0.0175555423127059,ProtBERT-BFD,ProtBERT-BFD | fusion | Xgboost
