fusion_name,models,algorithm,n_pairs,n_features,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std,clean_label
esm650__esm3b__protbert_bfd,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D;prot_bert_bfd,xgboost,6196,19744,0.7658859023185329,0.0216601335771636,0.8500344872681099,0.0272939951620475,0.7676695433232358,0.0290096331408595,0.7004601786039729,0.0335460956724897,0.7335175320517024,0.0500693970169571,0.806996677091641,0.0170446803152844,0.2117269823218212,0.0187939497699256,ESM650 + ESM3B + ProtBERT-BFD | Xgboost
esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,xgboost,6196,14528,0.7616630847884263,0.0225896327605202,0.8476522648292706,0.0293796593250226,0.7590569223594816,0.0285405879145999,0.6901304381785518,0.0320794939544132,0.7267729761529065,0.0487183882733117,0.7961765484959025,0.0204887486744559,0.2158370849291858,0.0211024415197348,ESM3B + ProtBERT-BFD | Xgboost
esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,xgboost,6196,15552,0.7639567399049094,0.02018150792327,0.8476344647781996,0.0286337615503428,0.7625517202677349,0.0251582143585829,0.6930347054075867,0.0279232330088725,0.7265671606431717,0.044774932139229,0.8038344674748389,0.0138804310995933,0.2123870511514793,0.0183470506080445,ESM650 + ESM3B | Xgboost
esm650__protbert_bfd,esm2_t33_650M_UR50D;prot_bert_bfd,xgboost,6196,9408,0.7565983240901739,0.0278462842437885,0.8430386478735216,0.0363653927811232,0.7611505256086145,0.0273684191059904,0.6907762503579888,0.0309935415381937,0.7245971951004692,0.0481109492414822,0.8036934437935155,0.0228503314589814,0.2166958356457675,0.0196341260079991,ESM650 + ProtBERT-BFD | Xgboost
esm3b__protbert_bfd,esm2_t36_3B_UR50D;prot_bert_bfd,random_forest,6196,14528,0.7539698396827744,0.0276042345539893,0.8375115431463709,0.0419907052624491,0.7712352138539692,0.0239889052104126,0.6712485354994924,0.0342038463166026,0.6746717982486954,0.0428131328333784,0.9029560793113564,0.0211531628446785,0.2034287582563369,0.0102947414839736,ESM3B + ProtBERT-BFD | Random Forest
esm650__esm3b,esm2_t33_650M_UR50D;esm2_t36_3B_UR50D,random_forest,6196,15552,0.7529688789773065,0.0249570170093586,0.8349019982782154,0.0378349494766464,0.7723864687882145,0.0239980932226443,0.6723782186466714,0.0329364441768365,0.6745736893493601,0.0415609145800858,0.9060879718336924,0.0214900014079098,0.2032701558595983,0.0102475142830396,ESM650 + ESM3B | Random Forest
