,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch
mean,0.8550577290346102,0.9044264876187104,0.8222212725558868,0.7847076206097529,0.829683548032869,0.8158317974366242,0.1664505039883843,147.0
std,0.027067300370361137,0.021516637830355307,0.03204828453873422,0.02764577906049111,0.03188101868686571,0.04502572992094722,0.019286276572808042,32.71849629796577
