gene,importance,pair_id,enz_gene,sub_gene,prob_hgt_saved,y_true
NPM1,2.562999725341797e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
CAPRIN1,2.562999725341797e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
USP10,2.4437904357910156e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
EIF4B,2.3245811462402344e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
FBXO42,2.205371856689453e-06,DUB|Q9NQC7|P04637,CYLD,TP53,0.9959875,1.0
ITCH,0.0018263459205627441,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
POLR2A,2.282857894897461e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
NFE2,2.282857894897461e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
POU5F1,2.1278858184814453e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
ARID1A,2.110004425048828e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
CEBPA,2.0623207092285156e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
JUNB,1.9788742065429688e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
JUN,1.800060272216797e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
MYC,1.7642974853515625e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
GLI1,1.6689300537109375e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
DTX1,1.633167266845703e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
KLF10,1.5854835510253906e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
N4BP1,1.5854835510253906e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
SOX2,1.5735626220703125e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
SMAD7,1.3649463653564453e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
SMAD6,1.245737075805664e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
GLIS3,1.1861324310302734e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
UBE2O,1.1265277862548828e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
FBXO42,1.1146068572998047e-05,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
TP73,9.834766387939453e-06,E3|Q96J02|P46531,ITCH,NOTCH1,0.9959919,1.0
ITCH,0.0008839964866638184,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
DVL2,0.00015944242477416992,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
POLR2A,1.3649463653564453e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
NFE2,1.341104507446289e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
DTX1,1.329183578491211e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
ARID1A,1.2695789337158203e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
POU5F1,1.245737075805664e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
CEBPA,1.2099742889404297e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
MYC,1.150369644165039e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
JUNB,1.150369644165039e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
JUN,1.0907649993896484e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
GLI1,1.043081283569336e-05,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
N4BP1,9.715557098388672e-06,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
SOX2,9.59634780883789e-06,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
KLF10,9.47713851928711e-06,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
SMAD7,8.285045623779297e-06,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
DVL3,7.927417755126953e-06,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
SMAD6,7.331371307373047e-06,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
GLIS3,7.331371307373047e-06,E3|Q96J02|O14641,ITCH,DVL2,0.9961189,1.0
