relation,pr_auc_drop,relative_importance,relative_importance_percent
PPI,0.14028151433394298,0.5183084894554487,51.83084894554487
Enzyme-Substrate Context,0.07381137753082145,0.2727163573495094,27.271635734950937
Co-localization,0.05655965808927388,0.20897515319504187,20.897515319504187
