gene,frequency,mean_importance,total_importance
BAG1,2,4.5299530029296875e-06,9.059906005859375e-06
MET,2,4.5299530029296875e-06,9.059906005859375e-06
BMI1,2,4.500150680541992e-06,9.000301361083984e-06
POLH,2,4.500150680541992e-06,9.000301361083984e-06
SPRY2,3,3.0001004536946616e-06,9.000301361083984e-06
STAT5A,1,8.940696716308594e-06,8.940696716308594e-06
NEDD4L,2,4.470348358154297e-06,8.940696716308594e-06
ZBTB10,1,8.761882781982422e-06,8.761882781982422e-06
USP17L2,1,8.702278137207031e-06,8.702278137207031e-06
OTUB2,2,4.291534423828125e-06,8.58306884765625e-06
LEF1,2,4.291534423828125e-06,8.58306884765625e-06
COPS5,2,4.26173210144043e-06,8.52346420288086e-06
CRKL,2,4.26173210144043e-06,8.52346420288086e-06
STK36,2,4.231929779052734e-06,8.463859558105469e-06
FUNDC1,3,2.8212865193684897e-06,8.463859558105469e-06
DNMT1,2,4.231929779052734e-06,8.463859558105469e-06
IRS1,3,2.8014183044433594e-06,8.404254913330078e-06
HSP90AA1,4,2.1010637283325195e-06,8.404254913330078e-06
PDCD5,2,4.202127456665039e-06,8.404254913330078e-06
EPOR,2,4.202127456665039e-06,8.404254913330078e-06
PIAS2,1,8.344650268554688e-06,8.344650268554688e-06
TRPV4,3,2.761681874593099e-06,8.285045623779297e-06
TLE2,2,4.112720489501953e-06,8.225440979003906e-06
XPC,1,8.106231689453125e-06,8.106231689453125e-06
SNAPIN,2,3.993511199951172e-06,7.987022399902344e-06
APP,3,2.602736155192057e-06,7.808208465576172e-06
MIB2,2,3.844499588012695e-06,7.68899917602539e-06
RNPS1,2,3.814697265625e-06,7.62939453125e-06
BACE1,3,2.5033950805664062e-06,7.510185241699219e-06
KCNA3,2,3.725290298461914e-06,7.450580596923828e-06
TRAF3IP2,1,7.450580596923828e-06,7.450580596923828e-06
NFS1,3,2.483526865641276e-06,7.450580596923828e-06
CD44,2,3.725290298461914e-06,7.450580596923828e-06
NOS2,2,3.6954879760742188e-06,7.3909759521484375e-06
FN1,2,3.6656856536865234e-06,7.331371307373047e-06
SHMT2,1,7.331371307373047e-06,7.331371307373047e-06
INSIG1,2,3.635883331298828e-06,7.271766662597656e-06
MAP3K1,1,7.271766662597656e-06,7.271766662597656e-06
DLL1,1,7.212162017822266e-06,7.212162017822266e-06
GSK3B,2,3.546476364135742e-06,7.092952728271484e-06
OTUD1,2,3.546476364135742e-06,7.092952728271484e-06
IKBKE,2,3.546476364135742e-06,7.092952728271484e-06
EIF4G2,4,1.7583370208740234e-06,7.033348083496094e-06
UVRAG,2,3.4868717193603516e-06,6.973743438720703e-06
EIF4B,3,2.3245811462402344e-06,6.973743438720703e-06
SMAD1,1,6.973743438720703e-06,6.973743438720703e-06
HIST1H2AJ,1,6.973743438720703e-06,6.973743438720703e-06
PTGS2,2,3.4868717193603516e-06,6.973743438720703e-06
ERGIC3,2,3.4570693969726562e-06,6.9141387939453125e-06
MAP1S,2,3.4570693969726562e-06,6.9141387939453125e-06
AKAP1,1,6.854534149169922e-06,6.854534149169922e-06
OTUD5,1,6.854534149169922e-06,6.854534149169922e-06
LRP6,2,3.427267074584961e-06,6.854534149169922e-06
UBQLN2,1,6.854534149169922e-06,6.854534149169922e-06
TRIM23,2,3.3676624298095703e-06,6.735324859619141e-06
FGFR4,3,2.2451082865397134e-06,6.735324859619141e-06
RPN1,2,3.3676624298095703e-06,6.735324859619141e-06
KITLG,2,3.3676624298095703e-06,6.735324859619141e-06
NOTCH3,1,6.616115570068359e-06,6.616115570068359e-06
IKBKG,1,6.616115570068359e-06,6.616115570068359e-06
IRF8,1,6.616115570068359e-06,6.616115570068359e-06
PAIP1,1,6.616115570068359e-06,6.616115570068359e-06
EI24,2,3.2782554626464844e-06,6.556510925292969e-06
CKAP2,1,6.556510925292969e-06,6.556510925292969e-06
NEDD4,2,3.2186508178710938e-06,6.4373016357421875e-06
CLEC1B,1,6.377696990966797e-06,6.377696990966797e-06
RBBP8,1,6.377696990966797e-06,6.377696990966797e-06
