gene,frequency,mean_importance,total_importance
LAPTM5,1,2.205371856689453e-06,2.205371856689453e-06
CASP8,1,2.205371856689453e-06,2.205371856689453e-06
AMOT,2,1.0728836059570312e-06,2.1457672119140625e-06
KIT,1,2.1457672119140625e-06,2.1457672119140625e-06
UBE4B,1,2.1457672119140625e-06,2.1457672119140625e-06
RHOT1,1,2.1457672119140625e-06,2.1457672119140625e-06
ANKRD13A,1,2.1457672119140625e-06,2.1457672119140625e-06
DEPTOR,1,2.1457672119140625e-06,2.1457672119140625e-06
PPIA,2,1.0728836059570312e-06,2.1457672119140625e-06
AXIN1,2,1.0728836059570312e-06,2.1457672119140625e-06
RPTOR,1,2.1457672119140625e-06,2.1457672119140625e-06
METAP2,1,2.1457672119140625e-06,2.1457672119140625e-06
TFAM,1,2.086162567138672e-06,2.086162567138672e-06
LPAR1,1,2.086162567138672e-06,2.086162567138672e-06
TNFRSF1B,1,2.0265579223632812e-06,2.0265579223632812e-06
HLA-DQB1,1,2.0265579223632812e-06,2.0265579223632812e-06
PRPF3,1,2.0265579223632812e-06,2.0265579223632812e-06
KRT36,1,1.9669532775878906e-06,1.9669532775878906e-06
MAP1LC3A,1,1.9669532775878906e-06,1.9669532775878906e-06
APPL1,1,1.9073486328125e-06,1.9073486328125e-06
AURKB,1,1.9073486328125e-06,1.9073486328125e-06
BUB3,1,1.9073486328125e-06,1.9073486328125e-06
RASSF5,1,1.9073486328125e-06,1.9073486328125e-06
CD1D,1,1.9073486328125e-06,1.9073486328125e-06
E6,1,1.9073486328125e-06,1.9073486328125e-06
MARCHF5,1,1.9073486328125e-06,1.9073486328125e-06
HLA-DRB5,1,1.9073486328125e-06,1.9073486328125e-06
HLA-DRB4,1,1.9073486328125e-06,1.9073486328125e-06
RPS3,1,1.9073486328125e-06,1.9073486328125e-06
PDGFRB,1,1.9073486328125e-06,1.9073486328125e-06
CXCR4,1,1.9073486328125e-06,1.9073486328125e-06
CUL4A,1,1.8477439880371094e-06,1.8477439880371094e-06
DNM1L,1,1.7881393432617188e-06,1.7881393432617188e-06
DDX58,1,1.7881393432617188e-06,1.7881393432617188e-06
CNTN2,1,1.7881393432617188e-06,1.7881393432617188e-06
MFN1,1,1.7881393432617188e-06,1.7881393432617188e-06
MFN2,1,1.7881393432617188e-06,1.7881393432617188e-06
SCN10A,1,1.7881393432617188e-06,1.7881393432617188e-06
TRIM9,1,1.7881393432617188e-06,1.7881393432617188e-06
BAD,1,1.7881393432617188e-06,1.7881393432617188e-06
FGFR1,1,1.7881393432617188e-06,1.7881393432617188e-06
MTOR,1,1.7881393432617188e-06,1.7881393432617188e-06
HLA-DRB3,1,1.7881393432617188e-06,1.7881393432617188e-06
PRPF19,1,1.7881393432617188e-06,1.7881393432617188e-06
HLA-DQA1,1,1.7881393432617188e-06,1.7881393432617188e-06
TFG,1,1.7881393432617188e-06,1.7881393432617188e-06
PSPC1,1,1.7881393432617188e-06,1.7881393432617188e-06
TDG,1,1.7881393432617188e-06,1.7881393432617188e-06
OGT,1,1.7881393432617188e-06,1.7881393432617188e-06
TRIM38,1,1.7285346984863281e-06,1.7285346984863281e-06
FHL2,1,1.7285346984863281e-06,1.7285346984863281e-06
RPS16,1,1.7285346984863281e-06,1.7285346984863281e-06
DVL1,1,1.6689300537109375e-06,1.6689300537109375e-06
PKD1,1,1.6689300537109375e-06,1.6689300537109375e-06
SEC31B,1,1.6689300537109375e-06,1.6689300537109375e-06
FASN,2,8.344650268554688e-07,1.6689300537109375e-06
HLTF,1,1.6689300537109375e-06,1.6689300537109375e-06
ICP0,1,1.6689300537109375e-06,1.6689300537109375e-06
RASSF1,1,1.6689300537109375e-06,1.6689300537109375e-06
HSPA2,1,1.6689300537109375e-06,1.6689300537109375e-06
RIPK3,1,1.6689300537109375e-06,1.6689300537109375e-06
ATXN3,1,1.6689300537109375e-06,1.6689300537109375e-06
RHOT2,1,1.6689300537109375e-06,1.6689300537109375e-06
ECSIT,1,1.6689300537109375e-06,1.6689300537109375e-06
MAVS,1,1.6689300537109375e-06,1.6689300537109375e-06
RNF19A,1,1.6689300537109375e-06,1.6689300537109375e-06
KHSRP,2,8.046627044677734e-07,1.6093254089355469e-06
SHARPIN,1,1.6093254089355469e-06,1.6093254089355469e-06
MAP3K14,1,1.5497207641601562e-06,1.5497207641601562e-06
MITF,1,1.5497207641601562e-06,1.5497207641601562e-06
LLGL1,1,1.5497207641601562e-06,1.5497207641601562e-06
PRC1,1,1.5497207641601562e-06,1.5497207641601562e-06
CD82,1,1.5497207641601562e-06,1.5497207641601562e-06
CTBP1,1,1.5497207641601562e-06,1.5497207641601562e-06
ACLY,1,1.5497207641601562e-06,1.5497207641601562e-06
NF2,1,1.5497207641601562e-06,1.5497207641601562e-06
ARRB1,1,1.5497207641601562e-06,1.5497207641601562e-06
PKM,1,1.5497207641601562e-06,1.5497207641601562e-06
ERN1,1,1.5497207641601562e-06,1.5497207641601562e-06
SEC31A,1,1.5497207641601562e-06,1.5497207641601562e-06
FBXO31,1,1.5497207641601562e-06,1.5497207641601562e-06
TBK1,1,1.5497207641601562e-06,1.5497207641601562e-06
KDM4C,1,1.5497207641601562e-06,1.5497207641601562e-06
SIAH2,1,1.5497207641601562e-06,1.5497207641601562e-06
GRB2,1,1.5497207641601562e-06,1.5497207641601562e-06
HERC2,1,1.5497207641601562e-06,1.5497207641601562e-06
KLHL42,1,1.5497207641601562e-06,1.5497207641601562e-06
HUWE1,1,1.4901161193847656e-06,1.4901161193847656e-06
CTTN,1,1.430511474609375e-06,1.430511474609375e-06
HSPA8,1,1.430511474609375e-06,1.430511474609375e-06
CCNA2,1,1.430511474609375e-06,1.430511474609375e-06
KAT2B,1,1.430511474609375e-06,1.430511474609375e-06
SIPA1,1,1.430511474609375e-06,1.430511474609375e-06
CDH1,1,1.430511474609375e-06,1.430511474609375e-06
COPE,1,1.430511474609375e-06,1.430511474609375e-06
RICTOR,1,1.430511474609375e-06,1.430511474609375e-06
PKD2,1,1.430511474609375e-06,1.430511474609375e-06
DES,1,1.430511474609375e-06,1.430511474609375e-06
RANBP9,1,1.430511474609375e-06,1.430511474609375e-06
RABEP2,1,1.430511474609375e-06,1.430511474609375e-06
FGFR2,1,1.430511474609375e-06,1.430511474609375e-06
CORO7,1,1.430511474609375e-06,1.430511474609375e-06
INSR,1,1.430511474609375e-06,1.430511474609375e-06
OLR1,1,1.3113021850585938e-06,1.3113021850585938e-06
TBC1D7,1,1.3113021850585938e-06,1.3113021850585938e-06
SCAP,1,1.3113021850585938e-06,1.3113021850585938e-06
MAP1LC3B,1,1.3113021850585938e-06,1.3113021850585938e-06
CACYBP,1,1.1920928955078125e-06,1.1920928955078125e-06
EPN1,1,1.1920928955078125e-06,1.1920928955078125e-06
NCSTN,1,1.1920928955078125e-06,1.1920928955078125e-06
VLDLR,1,1.1920928955078125e-06,1.1920928955078125e-06
TLR9,1,1.1920928955078125e-06,1.1920928955078125e-06
SYP,1,1.1920928955078125e-06,1.1920928955078125e-06
TARDBP,1,1.1324882507324219e-06,1.1324882507324219e-06
VASP,1,1.0728836059570312e-06,1.0728836059570312e-06
LDHA,1,1.0728836059570312e-06,1.0728836059570312e-06
PPIL2,1,1.0728836059570312e-06,1.0728836059570312e-06
NUMA1,1,1.0728836059570312e-06,1.0728836059570312e-06
ASXL1,1,1.0728836059570312e-06,1.0728836059570312e-06
TICAM1,1,1.0728836059570312e-06,1.0728836059570312e-06
BIRC2,1,1.0728836059570312e-06,1.0728836059570312e-06
TRIM27,1,9.5367431640625e-07,9.5367431640625e-07
ACE2,1,9.5367431640625e-07,9.5367431640625e-07
ATF4,1,9.5367431640625e-07,9.5367431640625e-07
FEZ1,1,8.344650268554688e-07,8.344650268554688e-07
PECAM1,1,8.344650268554688e-07,8.344650268554688e-07
AQP2,1,8.344650268554688e-07,8.344650268554688e-07
TIAM1,1,6.556510925292969e-07,6.556510925292969e-07
NEDD9,1,5.960464477539062e-07,5.960464477539062e-07
RALBP1,1,5.960464477539062e-07,5.960464477539062e-07
MARCHF11,1,5.960464477539062e-07,5.960464477539062e-07
TRIM36,1,5.960464477539062e-07,5.960464477539062e-07
ERRFI1,1,5.960464477539062e-07,5.960464477539062e-07
CGAS,1,5.960464477539062e-07,5.960464477539062e-07
EPS15,1,5.960464477539062e-07,5.960464477539062e-07
CLU,1,5.960464477539062e-07,5.960464477539062e-07
RPA1,1,5.364418029785156e-07,5.364418029785156e-07
INPPL1,1,5.364418029785156e-07,5.364418029785156e-07
JOSD1,1,5.364418029785156e-07,5.364418029785156e-07
SYT11,1,4.76837158203125e-07,4.76837158203125e-07
SERPINI1,1,4.76837158203125e-07,4.76837158203125e-07
SUV39H1,1,4.76837158203125e-07,4.76837158203125e-07
SFN,1,4.76837158203125e-07,4.76837158203125e-07
PTPN14,1,3.5762786865234375e-07,3.5762786865234375e-07
DDX3X,1,3.5762786865234375e-07,3.5762786865234375e-07
ART4,1,3.5762786865234375e-07,3.5762786865234375e-07
MARCHF1,1,3.5762786865234375e-07,3.5762786865234375e-07
NF1,1,3.5762786865234375e-07,3.5762786865234375e-07
