roc_auc,pr_auc,f1,accuracy,precision,recall,brier,epoch,train_loss,fold
0.5145301466594243,0.5880592134434108,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2800498686241011,0,0.7055232524871826,0
0.5379522531446039,0.6102467592898965,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.28083793472605784,1,0.6773338913917542,0
0.5697431063680225,0.6268344562578152,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2663841093558051,2,0.6881285905838013,0
0.5953339510709227,0.6398439727945366,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2522479524449243,3,0.6745090484619141,0
0.6099626162251973,0.6560345627799178,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.24434453278930807,4,0.6677519083023071,0
0.6206092703240992,0.668142717521168,0.7301587301587301,0.575,0.5754640839386602,0.9985994397759104,0.24122581531916465,5,0.6637358665466309,0
0.6292123313203608,0.6783779804338004,0.7301587301587301,0.575,0.5754640839386602,0.9985994397759104,0.24031456059149586,6,0.6675535440444946,0
0.6326484966610217,0.6818347588141274,0.7301587301587301,0.575,0.5754640839386602,0.9985994397759104,0.24065081310039552,7,0.6638835072517395,0
0.6326804486052977,0.6830870297914317,0.7301587301587301,0.575,0.5754640839386602,0.9985994397759104,0.242459614568331,8,0.6642066240310669,0
0.6316926009947705,0.6830465504589998,0.7308085977482088,0.5758064516129032,0.5758064516129032,1.0,0.2454028007455298,9,0.6589219570159912,0
0.633122450501113,0.6851969102360673,0.7311827956989247,0.5766129032258065,0.576271186440678,1.0,0.24819780349506834,10,0.6556200385093689,0
0.6368608279813827,0.6892310396608903,0.7319323423885187,0.5782258064516129,0.5772029102667745,1.0,0.2489550221166004,11,0.6469276547431946,0
0.6415444504798117,0.6935553272480248,0.7328872876994339,0.5814516129032258,0.5793327908868999,0.9971988795518207,0.24723034699541616,12,0.6477898359298706,0
0.6459937587202182,0.6966220365493885,0.7365145228215768,0.5903225806451613,0.5848434925864909,0.9943977591036415,0.2428854649678614,13,0.6466403603553772,0
0.650279313246211,0.6992623518591101,0.7366737739872068,0.6016129032258064,0.5946643717728055,0.9677871148459384,0.23770505568406214,14,0.6404956579208374,0
0.6549962190199273,0.7045024400263802,0.7460055096418733,0.6282258064516129,0.6148955495004541,0.9481792717086834,0.23284984820859733,15,0.635909378528595,0
0.6585189208763353,0.7093684627451549,0.7321016166281755,0.6258064516129033,0.6227897838899804,0.8879551820728291,0.2299343770664956,16,0.6314494609832764,0
0.6612321734777562,0.7132819243814785,0.7177371832645846,0.6137096774193549,0.6195320447609359,0.8529411764705882,0.22951384578016068,17,0.6260687112808228,0
0.6648347551948537,0.718044323504607,0.7107142857142857,0.6080645161290322,0.6180124223602484,0.8361344537815126,0.23113037107437087,18,0.625746488571167,0
0.6688447242014677,0.7226834750459995,0.7105263157894737,0.6096774193548387,0.6200417536534447,0.8319327731092437,0.2337410318505856,19,0.6166817545890808,0
0.6749768348404002,0.7295292036823784,0.717208182912154,0.6209677419354839,0.6286919831223629,0.834733893557423,0.23624747458850076,20,0.6123603582382202,0
0.6825547709578128,0.7390962767088887,0.7163814180929096,0.6258064516129033,0.6355748373101953,0.8207282913165266,0.23747302775659496,21,0.6075316071510315,0
0.6906412755216156,0.7529638982323097,0.7116104868913857,0.6274193548387097,0.6418918918918919,0.7983193277310925,0.23722259666433534,22,0.5992810130119324,0
0.6986505628867518,0.7677844542241512,0.7017318794098781,0.625,0.6473372781065089,0.7661064425770309,0.2346694643730451,23,0.6002369523048401,0
0.7039945255668807,0.7751084982124165,0.700587084148728,0.6298387096774194,0.6556776556776557,0.7521008403361344,0.23094410640843438,24,0.5917689204216003,0
0.70679564601506,0.775012030324323,0.7017082785808147,0.6338709677419355,0.6608910891089109,0.7478991596638656,0.2273812248442152,25,0.5873857140541077,0
0.7112076769871447,0.7762448029449511,0.7013843111404087,0.6346774193548387,0.6625155666251556,0.7450980392156863,0.22450145176927616,26,0.5833704471588135,0
0.7170495574655718,0.7798335157430862,0.7068852459016394,0.6395161290322581,0.6646115906288532,0.7549019607843137,0.22215519943397238,27,0.5751046538352966,0
0.7244810471717205,0.7846614356037354,0.7193675889328063,0.6564516129032258,0.6791044776119403,0.7647058823529411,0.2196330117618615,28,0.5725111961364746,0
0.7318646089614553,0.7905510335243241,0.7341269841269841,0.6758064516129032,0.6954887218045113,0.7773109243697479,0.2171153142675938,29,0.5720959901809692,0
0.7390205131482251,0.797132329399493,0.7408880053015242,0.6846774193548387,0.7031446540880503,0.7829131652661064,0.21487435517082373,30,0.5572428703308105,0
0.7455746557178005,0.8045135967469873,0.7406914893617021,0.6854838709677419,0.7050632911392405,0.7801120448179272,0.21311859758619803,31,0.5576621294021606,0
0.7506763161538379,0.8110261148186112,0.7426666666666667,0.6887096774193548,0.7086513994910941,0.7801120448179272,0.21224525021498442,32,0.5555710792541504,0
0.7541990180102459,0.8156512893158541,0.7434695244474213,0.6911290322580645,0.7124518613607189,0.7773109243697479,0.21174447769198404,33,0.5484749674797058,0
0.7573808991277119,0.8193245117106257,0.7404426559356136,0.6879032258064516,0.7104247104247104,0.773109243697479,0.2115971356974627,34,0.5403710603713989,0
0.7604615990883046,0.8212568411096268,0.7415881561238223,0.6903225806451613,0.7137305699481865,0.7717086834733894,0.2114942956132047,35,0.5300602316856384,0
0.763057694560714,0.8225396127012852,0.7379032258064516,0.6854838709677419,0.7093023255813954,0.7689075630252101,0.21133552361610544,36,0.5345978140830994,0
0.7649641605691707,0.8238316937466542,0.7383367139959433,0.6879032258064516,0.7137254901960784,0.7647058823529411,0.21009886783926646,37,0.5201476812362671,0
