roc_auc,pr_auc,f1,accuracy,precision,recall,brier,scenario,n_edge_types,delta_pr_vs_full,delta_roc_vs_full
0.8132941389483551,0.8719494498287855,0.7652548456568558,0.7362903225806452,0.7849779086892489,0.7464985994397759,0.20006480047888162,full,3,0.0,0.0
0.7631721890277023,0.8153897917395116,0.7040737893927748,0.6895161290322581,0.7802385008517888,0.6414565826330533,0.2291140198461737,no_colocalization,2,-0.05655965808927388,-0.050121949920652775
0.768428283861073,0.7981380722979641,0.7724301841948901,0.6911290322580645,0.6707946336429309,0.9103641456582633,0.2632808233990348,no_enzyme_substrate_context,2,-0.07381137753082145,-0.044865855087282136
0.7044019128563973,0.773554980014294,0.6775147928994083,0.6483870967741936,0.7178683385579937,0.6414565826330533,0.2541641077431003,only_colocalization,1,-0.09839446981449151,-0.10889222609195781
0.6797243612273808,0.7678245183569452,0.3186046511627907,0.5274193548387097,0.9383561643835616,0.19187675070028012,0.34413542391081464,only_enzyme_substrate,1,-0.10412493147184032,-0.13356977772097434
0.676567775399133,0.7386878135160966,0.7244094488188977,0.6330645161290323,0.6382070437566703,0.8375350140056023,0.31195939557608027,only_ppi,1,-0.13326163631268895,-0.13672636354922207
0.6552771298633522,0.7316679354948425,0.5122615803814714,0.5669354838709677,0.7286821705426356,0.3949579831932773,0.31870809620707685,no_ppi,2,-0.14028151433394298,-0.15801700908500294
