family,short_label,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean,brier_mean,rank
Final ensemble,"MegaWeighted
HGT+EdgeAware+HeteroSAGE",hgt0.5_edge0.3_hetero0.2,0.87163175617867,0.0191792834245117,0.9195274109798516,0.0160491490054749,0.8327329890605661,0.7955183680908121,0.8345607789428708,0.8319222529745769,0.1489835748019257,1
Graph learning,"weighted_graph0.6_
xgb0.2_nn0.2",weighted_graph0.6_xgb0.2_nn0.2,0.8316796246379619,0.0218903458850875,0.8896723418601136,0.0223066291789088,0.8102520281581211,0.7646897862480149,0.8019421507613748,0.8205481472833525,0.1646603312191994,9
Graph learning,GraphSAGE,Stacking_GraphSAGE_XGB_NN,0.8314214212409021,0.0218437993151491,0.8893078226369289,0.0227737810112341,0.8112786757904912,0.7633986826004321,0.7951110438369458,0.8302985915628647,0.1651971748351279,10
Graph learning,"weighted_graph0.5_
xgb0.25_nn0.25",weighted_graph0.5_xgb0.25_nn0.25,0.8289353506035109,0.0214625979833957,0.8881053346383512,0.0231172574512582,0.807329843771139,0.7604953266161576,0.796773057112655,0.8198234446470039,0.165688739623629,11
Graph learning,"weighted_graph0.7_
nn0.3",weighted_graph0.7_nn0.3,0.8314820142413856,0.022627545099777,0.8879871687171527,0.0232423745835365,0.8050888188786789,0.761140878439949,0.8048455871047457,0.8073946345281309,0.1661589361252014,12
Graph learning,"weighted_graph0.6_
nn0.4",weighted_graph0.6_nn0.4,0.8293713041058515,0.0215004812488428,0.8865645459465229,0.0239746326969228,0.806682964477986,0.7632389544117264,0.8069745932867896,0.8078318231922139,0.166752792582702,13
Graph learning,"weighted_graph0.7_
xgb0.3",weighted_graph0.7_xgb0.3,0.8275669872896018,0.0211825523087835,0.885564728940366,0.0191330719632255,0.8057596980881107,0.7582343981879246,0.794687185425292,0.8191888645303221,0.1678264654308162,14
Graph learning,"weighted_graph0.8_
xgb0.2",weighted_graph0.8_xgb0.2,0.827840177358431,0.0209454698507653,0.8854768053775122,0.0185474671006312,0.8023800949260872,0.7554902496810644,0.7959905402715549,0.8109490379623292,0.169304361988767,15
Graph learning,"weighted_graph0.4_
xgb0.3_nn0.3",weighted_graph0.4_xgb0.3_nn0.3,0.8236427203479197,0.0210126797454651,0.8852990435327797,0.0235810512146187,0.7991591891638014,0.7488735712983936,0.7848192494060032,0.8151585339223958,0.1684697121599731,16
Graph learning,"weighted_graph0.6_
xgb0.4",weighted_graph0.6_xgb0.4,0.8256749008381734,0.021208013690751,0.884708439876239,0.0197490059712851,0.8089983618715783,0.7600089822697805,0.7909843945893191,0.8294534432988758,0.1682859634781841,17
Graph learning,"weighted_graph_onl
y",weighted_graph_only,0.8217995163004239,0.0205983064055109,0.8783286908425778,0.0158535113073882,0.7992124646056293,0.7540383764221927,0.8003400320900298,0.8005170834373965,0.1780723389206256,19
Cross-model fusion,"Cross-model
ESM650+ProtBERT",esm650__esm3b__protbert_bfd | xgboost,0.7658859023185329,0.0216601335771636,0.8500344872681099,0.0272939951620475,0.7676695433232358,0.7004601786039729,0.7335175320517024,0.806996677091641,0.2117269823218212,20
Cross-model fusion,"Cross-model
Fusion",esm3b__protbert_bfd | xgboost,0.7616630847884263,0.0225896327605202,0.8476522648292706,0.0293796593250226,0.7590569223594816,0.6901304381785518,0.7267729761529065,0.7961765484959025,0.2158370849291858,21
Cross-model fusion,"Cross-model
ESM650+ESM3B",esm650__esm3b | xgboost,0.7639567399049094,0.02018150792327,0.8476344647781996,0.0286337615503428,0.7625517202677349,0.6930347054075867,0.7265671606431717,0.8038344674748389,0.2123870511514793,22
Pair-level ML,"XGBoost
Pair Fusion",esm2_t36_3B_UR50D | fusion | xgboost,0.7594059217930198,0.0173104248314475,0.8463114032143025,0.0241963713391168,0.7561574664236483,0.6880311906063683,0.7275667907221286,0.7887203113953232,0.2153503508067328,23
Neural pair scorer,"NN
Focal",NN_Focal,0.7731432334010391,,0.8460297879158614,,0.7572945906315285,0.709980343148741,0.7742345468994226,0.7414011726798085,0.2182510178334517,24
Neural pair scorer,"NN
BCE",NN_BCE,0.7634841153544609,,0.8440297599198642,,0.7453858606692968,0.6973890234059725,0.7674750584536141,0.7260211086092274,0.2521051704405185,25
Neural pair scorer,"NN
Hybrid
Focal
Ranking",NN_Hybrid_Focal_Ranking,0.7700504170685735,,0.8432118067596583,,0.7553222240809063,0.7059413158374339,0.7710195136037543,0.7409154572348685,0.214794313864591,26
Neural pair scorer,"NN
V2
Focal",NN_V2_Focal,0.7581923994381286,,0.8396038628462165,,0.7475365797207653,0.7041705069124424,0.7797187870223847,0.71872738478492,0.2443999337810496,31
Neural pair scorer,"NN
Weighted
BCE",NN_Weighted_BCE,0.7626284726896767,,0.8384028296653947,,0.7415221496539193,0.6967454242495249,0.7773957844730726,0.7120597184041177,0.2452115070198517,32
Pair-level ML,"Pair-level
ML",esm2_t36_3B_UR50D | per_sequence | random_forest,0.7537014281189693,0.0186941973742848,0.8375525558009211,0.0322578562507208,0.7725122678072573,0.6712468431877945,0.6722532790620888,0.9102207731909944,0.2038400605378896,33
Pair-level ML,"Logistic
Pair Fusion",esm2_t36_3B_UR50D | fusion | logistic,0.7279528223148146,0.0234917082355824,0.8170865314505316,0.0383444701457629,0.715159448298726,0.6715672108099664,0.7640379631628823,0.6732341221997418,0.2198231801934179,62
Graph learning,GAT,GAT,0.7130318766425172,0.0298899352362814,0.791507762880336,0.0265329678579471,0.7609928187857687,0.6187932515816605,0.6192241367040711,0.9888311688311688,0.2456765206660596,71
