enzyme_class,enz_gene,count
E3,NEDD4,2
DUB,USP8,2
E3,FBXO7,3
E3,CDC20,6
E3,PPIL2,6
E3,WWP1,16
E3,AURKA,20
E3,STUB1,24
DUB,USP10,25
DUB,USP15,86
