epoch,train_loss,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,fold,model_name,loss_name
0,0.45691391290762484,0.7045265013564724,0.7693567110414782,0.618693134822167,0.6282258064516129,0.7262135922330097,0.5389048991354467,0.22796877351098624,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
1,0.3170849153628716,0.7234537796497451,0.7733633001099702,0.6965966690803765,0.6620967741935484,0.7001455604075691,0.6930835734870316,0.24380915785806265,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
2,0.22158828798012856,0.6934160939924628,0.7548347518950485,0.6122792262405383,0.6282258064516129,0.7353535353535353,0.5244956772334294,0.30169172545947637,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
3,0.1796232379781894,0.7322101529594325,0.7654657675124557,0.6963746223564955,0.6758064516129032,0.7317460317460317,0.6642651296829971,0.26726228602165125,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
4,0.1281067620103176,0.7164075117965608,0.76107755015429,0.695457930007446,0.6701612903225806,0.7195685670261941,0.6729106628242075,0.2871477892189604,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
5,0.10221967788843009,0.7174077123644848,0.7695159439659811,0.6849112426035503,0.6564516129032258,0.7036474164133738,0.6671469740634006,0.2954520568753098,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
6,0.0834980271756649,0.6896528063675037,0.7307397132387787,0.6431372549019608,0.6330645161290323,0.7056798623063684,0.590778097982709,0.3217531480591431,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
7,0.0576900337369014,0.7226792179962209,0.7637299695491644,0.7029850746268657,0.6790322580645162,0.7291021671826625,0.6786743515850144,0.2962814203495872,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
8,0.026308968424414977,0.722407395678289,0.7633307399987772,0.7033457249070632,0.6782258064516129,0.7265745007680492,0.6815561959654178,0.3049272672600618,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
9,0.02323755907276884,0.7156303110914062,0.7597452266646425,0.6926536731634183,0.6693548387096774,0.721875,0.6657060518731989,0.30974346112035733,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
10,0.017078125610565528,0.7092358889909323,0.7534869284916549,0.6845637583892618,0.6588709677419354,0.7094281298299846,0.6613832853025937,0.3244302144535415,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
11,0.02713530034256669,0.7138225607245781,0.7531242145782626,0.6953937592867756,0.6693548387096774,0.7177914110429447,0.6743515850144092,0.30891586807807586,0,neural_pair_scorer_resmlp_weighted_bce,weighted_bce
