ensemble,w_xgb,w_nn,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,brier_mean,brier_std
ens_xgb0.5_nn0.5,0.5,0.5,0.7823482787540109,0.0231333471846412,0.8595108632436366,0.03139943069316608,0.7732854077264786,0.028390492205575286,0.7180525397693248,0.03130736869554785,0.764362843701772,0.05296123218824946,0.7841700208370805,0.0122238634765139,0.19711989876457947,0.01264252629562441
ens_xgb0.4_nn0.6,0.4,0.6,0.78256584726535,0.02267163558758258,0.8593554220284447,0.03180509416509675,0.7716392222799111,0.025309040352413294,0.7182122679580306,0.025445864852405763,0.7679091471275148,0.04743855819971302,0.7767463849544647,0.011914963279924994,0.19848706638472585,0.01242245770397116
ens_xgb0.6_nn0.4,0.6,0.4,0.7812000397074788,0.023455689401744067,0.8591720932324746,0.031002708504107683,0.7747601061197584,0.029112760047591755,0.716438855476581,0.032361742822813316,0.7567106820755931,0.05230541318565524,0.795386013247156,0.011321474510212325,0.19718225924124716,0.013413525431596412
ens_xgb0.3_nn0.7,0.3,0.7,0.782268023831666,0.022208433786712948,0.8587926953821883,0.0321591045310667,0.7707317309382402,0.026132146541342605,0.7191801400713376,0.0244606180000299,0.7718927750101459,0.04404748928192498,0.7704819603954454,0.014781738048507544,0.20128376210168622,0.012944396811047641
ens_xgb0.7_nn0.3,0.7,0.3,0.7791718276117993,0.02343743582079896,0.8582598000185572,0.030594048070021678,0.774062519546572,0.02861236580183538,0.71288747428988,0.031786367907853115,0.7491911493715018,0.04950906399268473,0.8022597794381425,0.015790104410574327,0.19867414781472886,0.014535607227714277
ens_xgb0.8_nn0.2,0.8,0.2,0.7761093346796117,0.023049744329463582,0.856730537186747,0.029900064722234065,0.7704281828218948,0.0289703970143605,0.7065932463745476,0.03247732364248385,0.7417770748040112,0.049871198918008036,0.803001807635112,0.013686866845540756,0.20159556448502475,0.015858675400981865
