epoch,train_loss,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,fold,model_name,loss_name
0,0.07327742817310187,0.7050226430629889,0.7485382678806926,0.6605222734254992,0.6435483870967742,0.7072368421052632,0.6195965417867435,0.22117313958859264,0,neural_pair_scorer_resmlp_focal,focal
1,0.052448637114885524,0.7374618657039407,0.7935989882704946,0.6973977695167286,0.6717741935483871,0.7204301075268817,0.6757925072046109,0.20591532517283243,0,neural_pair_scorer_resmlp_focal,focal
2,0.037609293101689756,0.7268871858209034,0.7684164059605425,0.711340206185567,0.6838709677419355,0.7274096385542169,0.6959654178674352,0.21369627639542393,0,neural_pair_scorer_resmlp_focal,focal
3,0.028297833764018156,0.7382324687800192,0.7752789176027609,0.6870696250956388,0.6701612903225806,0.732463295269168,0.6469740634005764,0.21708382704728815,0,neural_pair_scorer_resmlp_focal,focal
4,0.023272655211771145,0.7128896559732294,0.7679396575945852,0.666156202143951,0.6483870967741936,0.7107843137254902,0.6268011527377522,0.23967089801880098,0,neural_pair_scorer_resmlp_focal,focal
5,0.01682628108522831,0.6953808679313003,0.7471500350885403,0.6681715575620768,0.6443548387096775,0.6992125984251969,0.6397694524495677,0.25553936595762666,0,neural_pair_scorer_resmlp_focal,focal
6,0.013547806749836756,0.7281776820681721,0.7797343730062004,0.692020879940343,0.6669354838709678,0.7171561051004637,0.6685878962536023,0.23670071122859374,0,neural_pair_scorer_resmlp_focal,focal
7,0.007161533483901085,0.7310093844675977,0.778176900986081,0.7035398230088495,0.6758064516129032,0.7205438066465257,0.6873198847262247,0.24266289143553135,0,neural_pair_scorer_resmlp_focal,focal
8,0.0037159321647591125,0.7336405189431126,0.7818916248774184,0.7084870848708487,0.6814516129032258,0.7261724659606656,0.69164265129683,0.2524501755457677,0,neural_pair_scorer_resmlp_focal,focal
9,0.002768301031886576,0.7343768143479958,0.7702852478664572,0.721216509775525,0.6895161290322581,0.7248908296943232,0.7175792507204611,0.25507717672089186,0,neural_pair_scorer_resmlp_focal,focal
10,0.004508928494313016,0.7136180342232216,0.7528061708081699,0.7030567685589519,0.6709677419354839,0.7102941176470589,0.6959654178674352,0.265330394168683,0,neural_pair_scorer_resmlp_focal,focal
11,0.0036828248337723124,0.7335428740327876,0.7699143325694541,0.7168983174835406,0.6879032258064516,0.7280832095096582,0.7060518731988472,0.2485895822606886,0,neural_pair_scorer_resmlp_focal,focal
12,0.0019260132088302039,0.7278557177692624,0.7714920876751976,0.7002253944402704,0.6782258064516129,0.7315541601255887,0.6714697406340058,0.2602906227624828,0,neural_pair_scorer_resmlp_focal,focal
13,0.000980416954217407,0.7291145453969661,0.7711258915796183,0.6913767019667171,0.6709677419354839,0.7277070063694268,0.6585014409221902,0.26628322286628614,0,neural_pair_scorer_resmlp_focal,focal
0,0.07513432357555781,0.6445212753937586,0.7856269521540515,0.6414035087719299,0.5875706214689266,0.721958925750395,0.577020202020202,0.23512559244608072,1,neural_pair_scorer_resmlp_focal,focal
1,0.0522275108557481,0.7310097620500305,0.8447812593940988,0.7439180537772087,0.6771589991928975,0.7545454545454545,0.7335858585858586,0.20365122989500128,1,neural_pair_scorer_resmlp_focal,focal
2,0.03919137125978103,0.7708093236616727,0.8575079747171572,0.7436074637180373,0.7005649717514124,0.8213740458015267,0.6792929292929293,0.19646578108925045,1,neural_pair_scorer_resmlp_focal,focal
3,0.029776791158394936,0.7677417350236142,0.8495891818382053,0.6965466568699485,0.6666666666666666,0.8330404217926186,0.5984848484848485,0.218455680746977,1,neural_pair_scorer_resmlp_focal,focal
4,0.021969611684863385,0.7679564097349332,0.8450492412934865,0.7597840755735492,0.7126715092816788,0.8159420289855073,0.7108585858585859,0.20262571644959682,1,neural_pair_scorer_resmlp_focal,focal
5,0.018435683029775437,0.7706200709556414,0.8570298829517224,0.7456926257753274,0.7021791767554479,0.8209408194233687,0.6830808080808081,0.20959688503985352,1,neural_pair_scorer_resmlp_focal,focal
6,0.013966738294141415,0.76362054549974,0.8544916482066551,0.733983286908078,0.6916868442292171,0.8183229813664596,0.6654040404040404,0.22781600853648779,1,neural_pair_scorer_resmlp_focal,focal
7,0.011353802025461426,0.7533444060289696,0.8405405894048789,0.7531436135009927,0.6989507667473769,0.7913769123783032,0.7184343434343434,0.22229760379135946,1,neural_pair_scorer_resmlp_focal,focal
8,0.007646192002516144,0.771173705737464,0.8560389814110633,0.7489711934156379,0.7046004842615012,0.8198198198198198,0.6893939393939394,0.22139618635168046,1,neural_pair_scorer_resmlp_focal,focal
9,0.004255668833278692,0.7627787946579894,0.8512614687284138,0.7446236559139785,0.6933010492332526,0.7959770114942529,0.6994949494949495,0.23682558685838584,1,neural_pair_scorer_resmlp_focal,focal
10,0.0025224959834490735,0.7756846993424175,0.8600429943999761,0.7777777777777778,0.7223567393058918,0.7962962962962963,0.76010101010101,0.2244571133019988,1,neural_pair_scorer_resmlp_focal,focal
11,0.001984291689064449,0.771343185772716,0.8597079988963733,0.7697241821680565,0.7102502017756255,0.7822685788787483,0.7575757575757576,0.2326565472782264,1,neural_pair_scorer_resmlp_focal,focal
12,0.0023696877096648305,0.758496599100626,0.8533721372979903,0.7593307593307593,0.6981436642453591,0.7742782152230971,0.7449494949494949,0.24533485260067064,1,neural_pair_scorer_resmlp_focal,focal
13,0.001513868347944644,0.769269880008135,0.8569408521415081,0.7670157068062827,0.7126715092816788,0.7961956521739131,0.73989898989899,0.23847535392190738,1,neural_pair_scorer_resmlp_focal,focal
14,0.0034151223588149804,0.7546465776331549,0.843774164823939,0.7566137566137566,0.7029862792574657,0.7944444444444444,0.7222222222222222,0.24816417603335741,1,neural_pair_scorer_resmlp_focal,focal
15,0.0045938692742194505,0.755392289788263,0.8461767249224801,0.7595772787318362,0.7062146892655368,0.796398891966759,0.726010101010101,0.2405549801498708,1,neural_pair_scorer_resmlp_focal,focal
16,0.002183693771560987,0.762346620568097,0.8507250820718777,0.7586657946370177,0.7021791767554479,0.7869742198100407,0.7323232323232324,0.24285628433295228,1,neural_pair_scorer_resmlp_focal,focal
17,0.0009535315330140293,0.7673604049442976,0.8540103406320059,0.7624090006618134,0.7102502017756255,0.8011126564673157,0.7272727272727273,0.2418145375053612,1,neural_pair_scorer_resmlp_focal,focal
18,0.0006153316601576547,0.7684366031681468,0.8557570376788103,0.7629000653167864,0.7070217917675545,0.790257104194858,0.7373737373737373,0.2421708237895872,1,neural_pair_scorer_resmlp_focal,focal
