,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch,best_pr_auc_during_training
mean,0.7634841153544609,0.8440297599198642,0.7453858606692968,0.6973890234059725,0.7674750584536141,0.7260211086092274,0.25210517044051856,8.2,0.8440297599198642
std,0.022224780342263023,0.031171202145171387,0.03238061721217697,0.0215206148489887,0.02670902317809688,0.05271975316020672,0.018917119133713245,7.791020472312982,0.031171202145171387
