fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier
0,0.7390716871984884,0.802027994566811,0.7202572347266881,0.6491935483870968,0.6504065040650406,0.8069164265129684,0.23805952514231235
1,0.7526495378844372,0.858822467902847,0.7683686176836861,0.6997578692493946,0.757985257985258,0.7790404040404041,0.21549564877736643
2,0.7906814327047791,0.8672046991941132,0.7923809523809524,0.7360774818401937,0.7761194029850746,0.8093385214007782,0.19175644039924222
3,0.7847220280795532,0.8665411912769828,0.7901840490797546,0.7239709443099274,0.7585394581861012,0.8245838668373879,0.19536769498888534
4,0.7623048257254068,0.8555760833997955,0.7671568627450981,0.6933010492332526,0.7245370370370371,0.8151041666666666,0.2179556023012996
