epoch,train_loss,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,fold,model_name,loss_name
0,0.13899959241732573,0.6699443687916311,0.715746704154054,0.601957585644372,0.6064516129032258,0.693609022556391,0.531700288184438,0.23193562686279862,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
1,0.09066281009178895,0.7079044874433924,0.7504639631260273,0.670817120622568,0.6588709677419354,0.7292724196277496,0.6210374639769453,0.2231343404403434,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
2,0.07429835601494862,0.7022146921282368,0.7483659702535471,0.6696428571428571,0.6419354838709678,0.6923076923076923,0.6484149855907781,0.2203556721206871,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
3,0.06041809773215881,0.7125888040873631,0.7686868353081566,0.6921944035346097,0.6629032258064517,0.7078313253012049,0.6772334293948127,0.21395831408214283,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
4,0.05283070164613235,0.717975108465022,0.7816849151330597,0.646677471636953,0.6483870967741936,0.7388888888888889,0.5749279538904899,0.21526198527683665,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
5,0.044919089820140444,0.725129577435053,0.7719755290068979,0.6629834254143646,0.6556451612903226,0.7329842931937173,0.6051873198847262,0.21473632929196831,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
6,0.03721923247361795,0.737886753016436,0.7871169190146237,0.6909090909090909,0.6846774193548387,0.7653239929947461,0.6296829971181557,0.21035935675753437,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
7,0.03219592747971033,0.7256494706062431,0.7809728956650086,0.6738296239447429,0.657258064516129,0.7208538587848933,0.6325648414985591,0.21731014362972184,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
8,0.028041160737092678,0.7391878054702262,0.776239407072612,0.6994047619047619,0.6741935483870968,0.7230769230769231,0.6772334293948127,0.209384169572122,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
9,0.021538882420804255,0.7192101846280521,0.7706140468029552,0.7065609228550829,0.6717741935483871,0.7070707070707071,0.7060518731988472,0.22573934560770273,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
10,0.018173489242027968,0.7328356081958387,0.766224037404936,0.6986301369863014,0.6806451612903226,0.7403225806451613,0.6613832853025937,0.22429306467566193,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
11,0.016065472450393897,0.7288163325627303,0.7720150415799207,0.6899696048632219,0.6709677419354839,0.729903536977492,0.654178674351585,0.22952395485549432,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
12,0.011609555102693729,0.7484244861766476,0.7918245061909944,0.7250361794500724,0.6935483870967742,0.7281976744186046,0.7219020172910663,0.22230841985346184,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
13,0.008654796822856251,0.7386916637637099,0.7825937947931263,0.7158196134574087,0.6798387096774193,0.7112375533428165,0.7204610951008645,0.23530101079700483,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
14,0.0064198392897080155,0.7396390832990257,0.7825796627129653,0.7365591397849462,0.6838709677419355,0.690176322418136,0.7896253602305475,0.2437785075326245,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
15,0.00416574992526036,0.7439829622826741,0.7894000214902233,0.718887262079063,0.6903225806451613,0.7306547619047619,0.707492795389049,0.24014101359345472,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
16,0.0021521919317400227,0.7418215789973717,0.7846370344302697,0.7214076246334311,0.6935483870967742,0.7343283582089553,0.7089337175792507,0.24710118365350034,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
17,0.0018222124968022585,0.7384040071359956,0.7878352746326712,0.7106227106227107,0.6814516129032258,0.7228017883755589,0.6988472622478387,0.25605940490697915,0,neural_pair_scorer_resmlp_hybrid_focal_ranking,hybrid_focal_ranking
