model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,accuracy_mean,precision_mean,recall_mean,brier_mean,delta_pr_auc_vs_bce,delta_pr_auc_vs_focal
NN_Focal,0.7731432334010391,0.020951400401795345,0.8460297879158614,0.03004330472104255,0.7572945906315285,0.034349599860987116,0.709980343148741,0.7742345468994226,0.7414011726798085,0.21825101783345174,0.002000027995997189,0.0
NN_BCE,0.7634841153544609,0.022224780342263023,0.8440297599198642,0.031171202145171387,0.7453858606692968,0.03238061721217697,0.6973890234059725,0.7674750584536141,0.7260211086092274,0.25210517044051856,0.0,-0.002000027995997189
NN_V2_Focal,0.7581923994381286,0.023344459576157703,0.8396038628462165,0.02660641540308516,0.7475365797207653,0.03867499367184392,0.7041705069124424,0.7797187870223847,0.71872738478492,0.24439993378104968,-0.004425897073647711,-0.0064259250696449
NN_Weighted_BCE,0.7626284726896767,0.023103312302093434,0.8384028296653947,0.03760569277127209,0.7415221496539193,0.029103837701160144,0.6967454242495249,0.7773957844730726,0.7120597184041177,0.24521150701985178,-0.0056269302544694755,-0.007626958250466664
