,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch,best_pr_auc_during_training
mean,0.7731432334010391,0.8460297879158614,0.7572945906315285,0.709980343148741,0.7742345468994226,0.7414011726798085,0.21825101783345174,14.4,0.8460297879158614
std,0.020951400401795345,0.03004330472104255,0.034349599860987116,0.02231619841862616,0.030988630879075513,0.040984151989066346,0.019361443652394814,18.063775906493085,0.03004330472104255
