,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch,best_pr_auc_during_training
mean,0.7581923994381286,0.8396038628462165,0.7475365797207653,0.7041705069124424,0.7797187870223847,0.71872738478492,0.24439993378104968,17.6,0.8396038628462165
std,0.023344459576157703,0.02660641540308516,0.03867499367184392,0.023913237704921455,0.03187237432194446,0.05110885019761718,0.025276024641043768,17.126003620226175,0.02660641540308516
