,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,coef_xgb,coef_nn,intercept
mean,0.7823374444253142,0.8594504834521046,0.7782917382030512,0.7153102137519852,0.7493969752343458,0.8137024160909355,0.1889884462929457,1.4889159769132212,1.6886851684403843,-1.4075304454325652
std,0.022964805615214197,0.03135135723257536,0.025764187547787434,0.03579878165372116,0.059675813100622796,0.027492581818212153,0.013698849922927607,0.10420379398136327,0.09168013118123303,0.09091862091148356
