,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch,best_pr_auc_during_training
mean,0.7700504170685735,0.8432118067596583,0.7553222240809063,0.7059413158374339,0.7710195136037543,0.7409154572348685,0.214794313864591,13.2,0.8432118067596583
std,0.01466680486156515,0.030163501030490692,0.01705550824956113,0.007946105920493779,0.029072574915901372,0.020597849127217873,0.019215441187950332,6.534523701081817,0.030163501030490692
