epoch,train_loss,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,fold,model_name,loss_name
0,0.07282035129192548,0.6742249105361497,0.7438754645079916,0.5478180129990715,0.6072580645161291,0.7702349869451697,0.4250720461095101,0.23447345316224624,0,neural_pair_scorer_v2_focal,focal
1,0.05694237045752697,0.7274994457991576,0.7784903610055576,0.7079136690647482,0.6725806451612903,0.7068965517241379,0.7089337175792507,0.20864801621232631,0,neural_pair_scorer_v2_focal,focal
2,0.04152330068441538,0.7217120055736771,0.7951429646328634,0.6794773251345119,0.6637096774193548,0.728171334431631,0.6368876080691642,0.2193513271858184,0,neural_pair_scorer_v2_focal,focal
3,0.03350199950047028,0.6957437375304811,0.7523191006584297,0.6535742340926944,0.6443548387096775,0.7184801381692574,0.5994236311239193,0.2358702122336354,0,neural_pair_scorer_v2_focal,focal
4,0.026193093317441452,0.7141300102395203,0.7605427431680416,0.6846153846153846,0.6693548387096774,0.7343234323432343,0.6412103746397695,0.23233112964885183,0,neural_pair_scorer_v2_focal,focal
5,0.021795290044676036,0.7303826097053763,0.7684536875055044,0.6988847583643123,0.6733870967741935,0.7219662058371735,0.6772334293948127,0.23438346491352036,0,neural_pair_scorer_v2_focal,focal
6,0.01737839735757846,0.6872354350740518,0.7394416464703518,0.6595744680851063,0.6387096774193548,0.6977491961414791,0.6253602305475504,0.273872867794773,0,neural_pair_scorer_v2_focal,focal
7,0.012894349650312692,0.7129503541607287,0.7623382229684161,0.6824925816023739,0.6548387096774193,0.7033639143730887,0.6628242074927954,0.26708475507919605,0,neural_pair_scorer_v2_focal,focal
8,0.012321735577036938,0.7154152283835281,0.7525374635758005,0.686046511627907,0.6516129032258065,0.6920821114369502,0.6801152737752162,0.26497867435437067,0,neural_pair_scorer_v2_focal,focal
9,0.008759943422121115,0.7306649882298297,0.7622893748610942,0.7062314540059347,0.6806451612903226,0.72782874617737,0.6858789625360231,0.2572029970516915,0,neural_pair_scorer_v2_focal,focal
10,0.0049043601402678555,0.7208727871552079,0.764943304167379,0.6984363365599404,0.6733870967741935,0.7226502311248074,0.6757925072046109,0.2761833974692928,0,neural_pair_scorer_v2_focal,focal
11,0.004395988636996406,0.7255729381089612,0.7706301403598204,0.693293142426526,0.6717741935483871,0.7266982622432859,0.6628242074927954,0.2716116004361395,0,neural_pair_scorer_v2_focal,focal
12,0.003092653066582548,0.7317667922855244,0.7725759518006305,0.7094890510948905,0.6790322580645162,0.7189349112426036,0.7002881844380403,0.2746405722311803,0,neural_pair_scorer_v2_focal,focal
13,0.0029622731239308054,0.7242547318195733,0.7729950226781699,0.7057971014492753,0.6725806451612903,0.7099125364431487,0.7017291066282421,0.2851825868931302,0,neural_pair_scorer_v2_focal,focal
14,0.003719356818458973,0.7228336025165997,0.7737111915183059,0.6921921921921922,0.6693548387096774,0.7225705329153606,0.6642651296829971,0.2868025556348733,0,neural_pair_scorer_v2_focal,focal
15,0.0019439418750922554,0.7234590577530058,0.7750295280245761,0.695457930007446,0.6701612903225806,0.7195685670261941,0.6729106628242075,0.28450023181707423,0,neural_pair_scorer_v2_focal,focal
16,0.0012864572423635623,0.7278662739757842,0.7769102646624386,0.702903946388682,0.6782258064516129,0.7272727272727273,0.6801152737752162,0.284585470963357,0,neural_pair_scorer_v2_focal,focal
17,0.0007038463779444543,0.7278821082855665,0.7748155808079427,0.6955201214882308,0.6766129032258065,0.7351524879614767,0.659942363112392,0.29236209100293925,0,neural_pair_scorer_v2_focal,focal
