fold,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,coef_xgb,coef_nn,intercept
0,0.7458091860109152,0.8038980178080992,0.7339108910891089,0.6532258064516129,0.6431670281995662,0.8544668587896254,0.21105271265081663,1.5078979208007515,1.580440486811329,-1.300026256023793
1,0.7772297923304634,0.8750487780065466,0.7785488958990536,0.7167070217917676,0.7780580075662042,0.7790404040404041,0.1891191508703721,1.6479983860839889,1.6626720695180857,-1.5285151026143933
2,0.805824381699868,0.8792862502461404,0.7967275015733165,0.7393058918482648,0.773838630806846,0.8210116731517509,0.17614533803862642,1.408290693001408,1.637446925217004,-1.3459338994526624
3,0.7954615345906323,0.871300555382427,0.7939317319848294,0.7368845843422115,0.784019975031211,0.8040973111395646,0.17906318519467612,1.383106280686724,1.7549978969892013,-1.400615661510919
4,0.7873623274946921,0.8677188158173099,0.788339670468948,0.7304277643260694,0.7679012345679013,0.8098958333333334,0.18956184471023713,1.4972866039932333,1.8078684636663018,-1.4625613075610586
