,roc_auc,pr_auc,f1,accuracy,precision,recall,brier,best_epoch,best_pr_auc_during_training
mean,0.7626284726896767,0.8384028296653947,0.7415221496539193,0.6967454242495249,0.7773957844730726,0.7120597184041177,0.24521150701985178,6.0,0.8384028296653947
std,0.023103312302093434,0.03760569277127209,0.029103837701160144,0.020006117898573234,0.051968197885348726,0.04796610577551071,0.027942903324839275,7.14142842854285,0.03760569277127209
