model,roc_auc_mean,pr_auc_mean,f1_mean,accuracy_mean,precision_mean,recall_mean,brier_mean
NN_Focal,0.7731432334010391,0.8460297879158614,0.7572945906315285,0.709980343148741,0.7742345468994226,0.7414011726798085,0.21825101783345174
NN_BCE,0.7634841153544609,0.8440297599198642,0.7453858606692968,0.6973890234059725,0.7674750584536141,0.7260211086092274,0.25210517044051856
NN_Hybrid_Focal_Ranking,0.7700504170685735,0.8432118067596583,0.7553222240809063,0.7059413158374339,0.7710195136037543,0.7409154572348685,0.214794313864591
NN_V2_Focal,0.7581923994381286,0.8396038628462165,0.7475365797207653,0.7041705069124424,0.7797187870223847,0.71872738478492,0.24439993378104968
NN_Weighted_BCE,0.7626284726896767,0.8384028296653947,0.7415221496539193,0.6967454242495249,0.7773957844730726,0.7120597184041177,0.24521150701985178
